LAUS,State_FIPS,County_FIPS,County_Name_State,Year,,Labor_Force,Employed,Unemployed,Unemployment_Rate
CN0100100000000,01,001,"Autauga County, AL",2015,,"25,602     ","24,272     ","1,330     ",5.2     
CN0100300000000,01,003,"Baldwin County, AL",2015,,"87,705     ","82,843     ","4,862     ",5.5     
CN0100500000000,01,005,"Barbour County, AL",2015,,"8,609     ","7,844     ",765     ,8.9     
CN0100700000000,01,007,"Bibb County, AL",2015,,"8,572     ","8,005     ",567     ,6.6     
CN0100900000000,01,009,"Blount County, AL",2015,,"24,473     ","23,152     ","1,321     ",5.4     
CN0101100000000,01,011,"Bullock County, AL",2015,,"4,777     ","4,398     ",379     ,7.9     
CN0101300000000,01,013,"Butler County, AL",2015,,"9,134     ","8,440     ",694     ,7.6     
CN0101500000000,01,015,"Calhoun County, AL",2015,,"45,910     ","42,679     ","3,231     ",7.0     
CN0101700000000,01,017,"Chambers County, AL",2015,,"14,975     ","14,069     ",906     ,6.1     
CN0101900000000,01,019,"Cherokee County, AL",2015,,"11,158     ","10,549     ",609     ,5.5     
CN0102100000000,01,021,"Chilton County, AL",2015,,"19,133     ","18,054     ","1,079     ",5.6     
CN0102300000000,01,023,"Choctaw County, AL",2015,,"4,378     ","3,980     ",398     ,9.1     
CN0102500000000,01,025,"Clarke County, AL",2015,,"7,992     ","7,054     ",938     ,11.7     
CN0102700000000,01,027,"Clay County, AL",2015,,"5,548     ","5,208     ",340     ,6.1     
CN0102900000000,01,029,"Cleburne County, AL",2015,,"5,677     ","5,335     ",342     ,6.0     
CN0103100000000,01,031,"Coffee County, AL",2015,,"20,269     ","19,062     ","1,207     ",6.0     
CN0103300000000,01,033,"Colbert County, AL",2015,,"23,603     ","21,733     ","1,870     ",7.9     
CN0103500000000,01,035,"Conecuh County, AL",2015,,"4,681     ","4,249     ",432     ,9.2     
CN0103700000000,01,037,"Coosa County, AL",2015,,"4,426     ","4,130     ",296     ,6.7     
CN0103900000000,01,039,"Covington County, AL",2015,,"15,457     ","14,353     ","1,104     ",7.1     
CN0104100000000,01,041,"Crenshaw County, AL",2015,,"6,355     ","5,974     ",381     ,6.0     
CN0104300000000,01,043,"Cullman County, AL",2015,,"36,384     ","34,472     ","1,912     ",5.3     
CN0104500000000,01,045,"Dale County, AL",2015,,"19,837     ","18,575     ","1,262     ",6.4     
