State Abbreviation,Party,Year
AL,1,1984
AK,3,1984
AZ,2,1984
AR,1,1984
CA,1,1984
CO,2,1984
CT,1,1984
DE,1,1984
FL,1,1984
GA,1,1984
HI,1,1984
ID,2,1984
IL,1,1984
IN,2,1984
IA,1,1984
KS,2,1984
KY,1,1984
LA,1,1984
ME,1,1984
MD,1,1984
MA,1,1984
MI,3,1984
MN,3,1984
MS,1,1984
MO,1,1984
MT,3,1984
NE,3,1984
NV,3,1984
NH,2,1984
NJ,3,1984
NM,3,1984
NY,3,1984
NC,1,1984
ND,2,1984
OH,3,1984
OK,1,1984
OR,1,1984
PA,3,1984
RI,1,1984
SC,1,1984
SD,2,1984
TN,1,1984
TX,1,1984
UT,2,1984
VT,3,1984
VA,1,1984
WA,1,1984
WV,1,1984
WI,1,1984
WY,2,1984
AL,1,1985
AK,3,1985
AZ,2,1985
AR,1,1985
CA,1,1985
CO,2,1985
CT,1,1985
DE,1,1985
FL,1,1985
GA,1,1985
HI,1,1985
ID,2,1985
IL,1,1985
IN,2,1985
IA,1,1985
KS,2,1985
KY,1,1985
LA,1,1985
ME,1,1985
MD,1,1985
MA,1,1985
MI,3,1985
MN,3,1985
MS,1,1985
MO,1,1985
MT,3,1985
NE,3,1985
NV,3,1985
NH,2,1985
NJ,3,1985
NM,3,1985
NY,3,1985
NC,1,1985
ND,2,1985
OH,3,1985
OK,1,1985
OR,1,1985
PA,3,1985
RI,1,1985
SC,1,1985
SD,2,1985
TN,1,1985
TX,1,1985
UT,2,1985
VT,3,1985
VA,1,1985
WA,1,1985
WV,1,1985
WI,1,1985
WY,2,1985
AL,1,1986
AK,3,1986
AZ,2,1986
AR,1,1986
CA,1,1986
CO,2,1986
CT,1,1986
DE,1,1986
FL,1,1986
GA,1,1986
HI,1,1986
ID,2,1986
IL,1,1986
IN,2,1986
IA,1,1986
KS,2,1986
KY,1,1986
LA,1,1986
ME,1,1986
MD,1,1986
MA,1,1986
MI,3,1986
MN,3,1986
MS,1,1986
MO,1,1986
MT,3,1986
NE,3,1986
NV,3,1986
NH,2,1986
NJ,3,1986
NM,3,1986
NY,3,1986
NC,1,1986
ND,2,1986
OH,3,1986
OK,1,1986
OR,1,1986
PA,3,1986
RI,1,1986
SC,1,1986
SD,2,1986
