Year,FIPS,All Ages in Poverty Percent,Median Household Income in Dollars
2017,1001,13.4,"$58,343 "
2016,1001,13.5,"$54,487 "
2015,1001,12.7,"$56,580 "
2014,1001,13.1,"$54,366 "
2013,1001,13.5,"$51,868 "
2012,1001,12.7,"$51,441 "
2011,1001,14.9,"$48,863 "
2010,1001,11.9,"$53,049 "
2009,1001,11.2,"$53,081 "
2008,1001,10.7,"$51,622 "
2007,1001,10.4,"$50,375 "
2006,1001,12.5,"$46,491 "
2005,1001,10.4,"$45,019 "
2004,1001,11.6,"$45,379 "
2003,1001,10.4,"$44,241 "
2002,1001,10.3,"$42,841 "
2001,1001,10.8,"$42,183 "
2000,1001,10.5,"$42,463 "
1999,1001,11.4,"$39,702 "
1998,1001,11.3,"$38,260 "
1997,1001,11.8,"$36,803 "
1996,1001,NA,NA
1995,1001,13.4,"$34,842 "
1993,1001,15.2,"$30,906 "
1989,1001,14.3,"$26,898 "
2017,1003,10.1,"$56,607 "
2016,1003,11.7,"$56,460 "
2015,1003,12.9,"$52,387 "
2014,1003,13,"$49,626 "
2013,1003,14.2,"$47,539 "
2012,1003,13.9,"$48,867 "
2011,1003,13.4,"$50,144 "
2010,1003,13.3,"$47,618 "
2009,1003,13.3,"$48,637 "
2008,1003,9.9,"$51,957 "
2007,1003,10.3,"$49,163 "
2006,1003,11,"$45,493 "
2005,1003,11.4,"$42,804 "
2004,1003,10,"$42,227 "
2003,1003,10.1,"$41,961 "
2002,1003,10.7,"$40,818 "
2001,1003,11.1,"$40,406 "
2000,1003,9.7,"$41,283 "
1999,1003,10.5,"$39,194 "
1998,1003,11,"$37,162 "
1997,1003,11.1,"$35,438 "
1996,1003,NA,NA
1995,1003,12.4,"$35,014 "
1993,1003,13.6,"$29,040 "
1989,1003,13.2,"$24,043 "
2017,1005,33.4,"$32,490 "
2016,1005,29.9,"$32,884 "
2015,1005,32,"$31,433 "
2014,1005,25.4,"$34,971 "
2013,1005,28.2,"$30,981 "
2012,1005,29,"$30,287 "
2011,1005,29.5,"$30,117 "
2010,1005,25.3,"$33,074 "
2009,1005,32.8,"$28,802 "
2008,1005,24.5,"$30,896 "
2007,1005,26.1,"$30,370 "
2006,1005,28.7,"$28,692 "
2005,1005,22.4,"$29,534 "
2004,1005,23.9,"$26,495 "
2003,1005,22.2,"$26,062 "
2002,1005,23.6,"$25,279 "
2001,1005,24.2,"$25,480 "
2000,1005,22.2,"$26,612 "
1999,1005,22.3,"$25,837 "
1998,1005,22.7,"$27,603 "
1997,1005,23.8,"$25,925 "
1996,1005,NA,NA
1995,1005,24.9,"$24,423 "
1993,1005,25,"$22,446 "
1989,1005,26.2,"$18,673 "
2017,1007,20.2,"$45,795 "
2016,1007,20.1,"$43,079 "
2015,1007,22.2,"$40,767 "
2014,1007,18.1,"$39,546 "
2013,1007,23.1,"$39,781 "
2012,1007,21.5,"$37,392 "
2011,1007,22.2,"$37,347 "
2010,1007,20.9,"$35,472 "
2009,1007,18.1,"$38,294 "
2008,1007,18.5,"$41,076 "
2007,1007,18.2,"$38,907 "
2006,1007,18.8,"$36,794 "
2005,1007,16.6,"$34,212 "
2004,1007,17.1,"$34,055 "
2003,1007,16.8,"$32,924 "
2002,1007,17.7,"$31,387 "
2001,1007,18.2,"$31,074 "
2000,1007,17.8,"$31,776 "
1999,1007,17.1,"$30,594 "
1998,1007,16.9,"$29,692 "
1997,1007,17.4,"$28,039 "
1996,1007,NA,NA
