Year,STATEID,State Abbreviation,CUSTOTT,JURTOTT,STATE POP,CUSTRATE,JURRATE
1986,1,AL,11638,11710,3991569,0.291564545,0.293368347
1986,2,AK,2447,2460,544268,0.449594685,0.451983214
1986,4,AZ,9345,9434,3308262,0.282474604,0.285164839
1986,5,AR,4689,4701,2331984,0.201073421,0.201588004
1986,6,CA,58830,59484,27102237,0.217066953,0.219480038
1986,8,CO,3775,3804,3237450,0.116604117,0.117499884
1986,9,CT,6821,6905,3223740,0.211586542,0.214192212
1986,10,DE,2782,2833,627559,0.443304932,0.451431658
1986,11,DC,6597,6618,638269,1.033576752,1.036866901
1986,12,FL,31888,32237,11667505,0.273306075,0.276297289
1986,13,GA,16860,16922,6084666,0.277089983,0.278108938
1986,15,HI,2155,2180,1051762,0.204894263,0.207271227
1986,16,ID,1438,1448,990224,0.145219667,0.14622954
1986,17,IL,19345,19456,11387257,0.169882879,0.170857653
1986,18,IN,10224,10175,5454108,0.187455034,0.186556629
1986,19,IA,2763,2777,2791970,0.098962381,0.099463819
1986,20,KS,5300,5345,2432619,0.217872178,0.219722036
1986,21,KY,5274,5288,3687809,0.143011745,0.143391374
1986,22,LA,14047,14300,4406919,0.318748768,0.32448974
1986,23,ME,1316,1316,1170126,0.112466521,0.112466521
1986,24,MD,13293,13326,4486957,0.296258689,0.296994154
1986,25,MA,5684,5636,5902678,0.096295275,0.095482085
1986,26,MI,20538,20742,9127775,0.225005546,0.227240483
1986,27,MN,2452,2462,4205212,0.058308594,0.058546394
1986,28,MS,6698,6747,2593597,0.258251378,0.260140646
1986,29,MO,10235,10309,5023068,0.203759933,0.205233136
1986,30,MT,1108,1111,813739,0.136161595,0.136530263
1986,31,NE,2027,2044,1574333,0.128752939,0.129832761
1986,32,NV,4558,4551,980613,0.464811297,0.464097457
1986,33,NH,761,782,1025053,0.074240064,0.076288738
1986,34,NJ,11991,12020,7622159,0.157317631,0.157698101
1986,35,NM,2394,2416,1462729,0.163666681,0.165170719
1986,36,NY,38196,38449,17833419,0.214182149,0.215600833
1986,37,NC,17627,17698,6321578,0.278838606,0.279961744
1986,38,ND,420,421,669512,0.062732259,0.062881621
1986,39,OH,22373,22463,10730268,0.208503646,0.209342395
1986,40,OK,9423,9708,3252735,0.289694672,0.29845653
1986,41,OR,4690,4770,2683528,0.17476993,0.17775108
1986,42,PA,15116,15201,11782752,0.128289215,0.129010608
1986,44,RI,1354,1358,977341,0.138539159,0.138948433
1986,45,SC,11540,11676,3342758,0.345223914,0.349292411
1986,46,SD,1073,1081,696034,0.154159136,0.155308505
1986,47,TN,7475,7591,4738708,0.157743419,0.160191343
1986,48,TX,38383,38534,16561113,0.231765824,0.232677598
1986,49,UT,1768,1776,1662834,0.106324504,0.10680561
1986,50,VT,703,697,534066,0.131631671,0.130508214
1986,51,VA,12821,12930,5811700,0.220606707,0.222482234
1986,53,WA,6583,6603,4452720,0.147842218,0.148291381
1986,54,WV,1473,1472,1882350,0.078253247,0.078200122
1986,55,WI,5691,5736,4755618,0.119668989,0.120615239
1986,56,WY,852,861,495633,0.171901387,0.173717246
1987,1,AL,12581,12827,4015264,0.313329335,0.319455956
1987,2,AK,2118,2528,539309,0.392724764,0.468747972
1987,4,AZ,10948,10948,3437103,0.318524059,0.318524059
1987,5,AR,5323,5441,2342355,0.227249926,0.232287591
1987,6,CA,66975,66975,27777158,0.24111538,0.24111538
1987,8,CO,4802,4808,3260480,0.147278928,0.14746295
