FIPS,Year,CancerDeaths,Population
1001,1988,34,32326
1001,1989,46,32672
1001,1990,57,32837
1001,1991,47,33577
1001,1992,44,34553
1001,1993,48,35470
1001,1994,58,36668
1001,1995,53,37522
1001,1996,67,38592
1001,1997,65,39568
1001,1998,51,40431
1003,1988,128,89292
1003,1989,143,90661
1003,1990,144,92442
1003,1991,134,96248
1003,1992,178,100036
1003,1993,154,104619
1003,1994,169,109289
1003,1995,196,113342
1003,1996,174,117378
1003,1997,174,121800
1003,1998,191,125666
1005,1988,37,23670
1005,1989,37,23752
1005,1990,47,23798
1005,1991,41,24848
1005,1992,39,25253
1005,1993,32,25622
1005,1994,36,26029
1005,1995,49,26118
1005,1996,42,26489
1005,1997,39,26617
1005,1998,31,27039
1007,1988,22,15205
1007,1989,24,15424
1007,1990,25,15562
1007,1991,26,16060
1007,1992,21,16362
1007,1993,25,16771
1007,1994,25,17000
1007,1995,21,17469
1007,1996,28,17827
1007,1997,22,18285
1007,1998,26,18735
1009,1988,44,36138
1009,1989,59,36614
1009,1990,47,36988
1009,1991,51,37908
1009,1992,62,38468
1009,1993,49,39486
1009,1994,63,40146
1009,1995,59,41622
1009,1996,55,42823
1009,1997,59,44403
1009,1998,60,46160
1011,1988,20,10394
1011,1989,20,10360
1011,1990,18,10194
1011,1991,12,10352
1011,1992,13,10292
1011,1993,12,10391
1011,1994,20,10549
1011,1995,15,10589
1011,1997,11,10788
1011,1998,13,10816
1013,1988,30,20496
1013,1989,19,20283
1013,1990,27,20103
1013,1991,35,19969
1013,1992,33,19985
1013,1993,35,20032
1013,1994,33,20069
1013,1995,50,20081
1013,1996,34,20121
1013,1997,30,20099
1013,1998,29,19971
1015,1988,185,111907
1015,1989,197,110975
1015,1990,178,110464
1015,1991,149,109565
1015,1992,200,109954
1015,1993,193,110480
1015,1994,176,110105
1015,1995,189,110530
1015,1996,182,110444
1015,1997,159,110848
1015,1998,165,110773
1017,1988,44,34712
1017,1989,54,34531
1017,1990,61,34091
1017,1991,59,34069
1017,1992,64,34243
1017,1993,60,34161
1017,1994,66,34265
1017,1995,54,34366
1017,1996,46,34034
1017,1997,53,33833
1017,1998,57,33926
1019,1988,29,18403
1019,1989,27,18333
1019,1990,35,18413
1019,1991,33,18685
1019,1992,27,18979
1019,1993,23,19498
1019,1994,36,19924
1019,1995,39,20518
1019,1996,31,20990
1019,1997,43,21464
1019,1998,32,21878
1021,1988,44,30427
1021,1989,41,30422
1021,1990,47,30475
1021,1991,37,31141
1021,1992,51,31502
1021,1993,41,32030
1021,1994,41,32702
1021,1995,52,33460
1021,1996,55,34382
1021,1997,50,35155
1021,1998,55,35893
1023,1988,19,15473
1023,1989,18,15148
1023,1990,19,15008
1023,1991,16,15003
1023,1992,22,15163
1023,1993,22,15177
1023,1994,29,15157
1023,1995,28,15178
1023,1996,21,15206
1023,1997,33,15110
1023,1998,27,15130
1025,1988,47,25650
1025,1989,39,25599
1025,1990,45,25660
1025,1991,33,25795
1025,1992,37,25906
1025,1993,42,25957
1025,1994,42,26057
1025,1995,34,25854
1025,1996,35,25900
1025,1997,33,26321
1025,1998,40,26148
1027,1988,22,12247
1027,1989,19,12119
1027,1990,16,12139
1027,1991,23,12201
1027,1992,19,12297
1027,1993,25,12428
1027,1994,15,12447
1027,1995,19,12474
1027,1996,17,12624
1027,1997,17,12838
1027,1998,18,13011
1029,1988,24,12035
1029,1989,19,12027
1029,1990,22,11986
1029,1991,12,11941
1029,1992,12,12068
1029,1993,12,12279
1029,1994,17,12249
1029,1995,15,12307
1029,1996,14,12467
1029,1997,30,12939
1029,1998,23,13101
1031,1988,52,38538
1031,1989,54,38184
1031,1990,51,38038
1031,1991,58,38288
1031,1992,60,39041
1031,1993,46,39501
1031,1994,57,40167
1031,1995,50,40570
1031,1996,72,40496
1031,1997,65,40467
1031,1998,70,40726
1033,1988,94,48716
1033,1989,105,48537
1033,1990,88,48761
1033,1991,87,49420
1033,1992,91,49625
1033,1993,74,50105
1033,1994,88,50112
1033,1995,84,50241
1033,1996,86,50641
1033,1997,75,51223
1033,1998,90,51201
1035,1988,25,13329
1035,1989,26,13112
1035,1990,23,12976
1035,1991,15,13218
1035,1992,36,13131
1035,1993,27,13179
1035,1994,26,13239
1035,1995,26,13261
1035,1996,23,13414
1035,1997,28,13275
1035,1998,22,13206
1037,1988,21,10392
1037,1989,21,10407
1037,1990,26,10361
1037,1991,20,10454
1037,1992,16,10476
1037,1993,22,10749
1037,1995,14,11201
1037,1996,19,11099
1037,1997,20,11177
1037,1998,12,11215
1039,1988,61,33877
1039,1989,86,33796
1039,1990,60,33649
1039,1991,71,33731
1039,1992,61,34053
1039,1993,44,34264
1039,1994,47,34025
1039,1995,68,34503
1039,1996,55,34655
1039,1997,52,34642
1039,1998,74,34595
1041,1988,24,12740
1041,1989,19,12670
1041,1990,24,12522
1041,1991,26,12433
1041,1992,22,12405
1041,1993,28,12428
1041,1994,27,12362
1041,1995,25,12459
1041,1996,21,12484
1041,1997,23,12560
1041,1998,29,12465
1043,1988,104,62642
1043,1989,117,62933
1043,1990,102,63462
1043,1991,87,64456
1043,1992,111,65506
1043,1993,108,66396
1043,1994,100,67431
1043,1995,96,68392
1043,1996,117,69532
1043,1997,114,70172
1043,1998,108,71220
1045,1988,63,48838
1045,1989,58,48066
1045,1990,50,47706
1045,1991,60,47776
1045,1992,56,47805
1045,1993,57,47586
1045,1994,55,48070
1045,1995,74,47851
1045,1996,64,47070
1045,1997,55,46675
1045,1998,59,46528
1047,1988,74,46795
1047,1989,65,46041
1047,1990,66,45222
1047,1991,70,44909
1047,1992,77,44977
1047,1993,70,45002
1047,1994,70,44828
1047,1995,80,44758
1047,1996,68,44446
1047,1997,70,44250
1047,1998,82,43980
1049,1988,66,50832
1049,1989,65,51071
1049,1990,56,51198
1049,1991,72,52423
1049,1992,74,53302
1049,1993,74,54432
1049,1994,84,55893
1049,1995,67,56022
1049,1996,87,56496
1049,1997,100,57175
1049,1998,87,58387
1051,1988,60,45895
1051,1989,58,46340
1051,1990,70,46913
1051,1991,69,48343
1051,1992,74,50071
1051,1993,66,51635
1051,1994,87,53068
1051,1995,79,54625
1051,1996,81,56083
1051,1997,76,57899
1051,1998,74,59547
1053,1988,62,34106
1053,1989,55,33560
1053,1990,45,33346
1053,1991,58,33628
1053,1992,57,34122
1053,1993,62,34414
1053,1994,55,34692
1053,1995,61,34808
1053,1996,55,35125
1053,1997,62,35494
1053,1998,48,35746
1055,1988,165,94652
1055,1989,193,94130
1055,1990,152,93463
1055,1991,161,93650
1055,1992,149,94149
1055,1993,175,94296
1055,1994,158,95220
1055,1995,169,95241
1055,1996,177,95736
1055,1997,173,96645
1055,1998,176,96859
1057,1988,18,16845
1057,1989,25,16619
1057,1990,31,16622
1057,1991,26,16789
1057,1992,21,16790
1057,1993,38,16777
1057,1994,34,16831
1057,1995,25,16859
1057,1996,28,16929
1057,1997,32,17002
1057,1998,28,17043
1059,1988,47,26463
1059,1989,52,26118
1059,1990,42,25955
1059,1991,44,26261
1059,1992,42,26729
1059,1993,54,27213
1059,1994,45,27589
1059,1995,40,27966
1059,1996,63,28305
1059,1997,53,28676
1059,1998,56,28884
1061,1988,35,21919
1061,1989,38,21700
1061,1990,27,21897
1061,1991,45,22381
1061,1992,40,22416
1061,1993,34,22665
1061,1994,45,22938
1061,1995,41,23112
1061,1996,39,23237
1061,1997,34,23345
1061,1998,36,23478
1063,1988,20,9518
1063,1989,16,9411
1063,1990,15,9323
1063,1991,12,9466
1063,1992,10,9482
1063,1993,10,9418
1063,1994,20,9399
1063,1995,11,9330
1063,1997,17,9411
1063,1998,10,9364
1065,1988,15,14154
1065,1989,14,14210
1065,1990,24,14283
1065,1991,23,14593
