FIPS,Year,CerebroDeaths,Population
1001,1979,8,31077
1001,1980,9,31327
1001,1981,5,30961
1001,1982,10,30958
1001,1983,7,30946
1001,1984,19,30944
1001,1985,11,31053
1001,1986,4,31684
1001,1987,7,31999
1001,1988,5,32326
1001,1994,10,36668
1001,1998,10,40431
1003,1979,16,73403
1003,1980,19,75148
1003,1981,22,76571
1003,1982,21,78399
1003,1983,10,79797
1003,1984,17,82352
1003,1985,20,84725
1003,1986,20,86371
1003,1987,16,88118
1003,1988,16,89292
1003,1989,12,90661
1003,1990,20,92442
1003,1991,19,96248
1003,1992,19,100036
1003,1993,17,104619
1003,1994,17,109289
1003,1995,18,113342
1003,1996,26,117378
1003,1997,18,121800
1003,1998,22,125666
1005,1979,12,23272
1005,1980,8,23591
1005,1981,11,23513
1005,1982,15,23485
1005,1983,13,23473
1005,1984,11,23568
1005,1985,5,23554
1005,1986,7,23482
1005,1987,7,23592
1005,1988,9,23670
1005,1989,11,23752
1005,1991,15,24848
1005,1998,12,27039
1007,1979,3,14792
1007,1980,4,14961
1007,1982,5,15189
1007,1983,1,15140
1007,1984,1,15183
1007,1985,4,15254
1007,1986,2,15003
1007,1987,5,15243
1007,1988,4,15205
1007,1992,10,16362
1007,1993,10,16771
1007,1995,20,17469
1007,1996,13,17827
1007,1997,13,18285
1007,1998,17,18735
1009,1979,7,34501
1009,1980,8,34907
1009,1981,11,34998
1009,1982,8,34609
1009,1983,12,34680
1009,1984,10,34973
1009,1985,5,35501
1009,1986,10,35983
1009,1987,8,35961
1009,1988,5,36138
1009,1989,10,36614
1009,1990,12,36988
1009,1992,11,38468
1009,1993,13,39486
1009,1994,10,40146
1009,1997,11,44403
1009,1998,11,46160
1011,1979,9,10234
1011,1980,5,10037
1011,1981,7,10058
1011,1982,5,10008
1011,1983,4,10043
1011,1984,6,10138
1011,1985,3,10052
1011,1986,11,9750
1011,1987,2,10130
1011,1988,7,10394
1013,1979,9,19904
1013,1980,10,20381
1013,1981,17,20753
1013,1982,4,20915
1013,1983,12,20874
1013,1984,4,20868
1013,1985,11,20812
1013,1986,7,20674
1013,1987,10,20708
1013,1988,10,20496
1013,1995,11,20081
1015,1979,31,112902
1015,1980,50,115803
1015,1981,29,116509
1015,1982,37,117589
1015,1983,33,116465
1015,1984,38,116749
1015,1985,30,113669
1015,1986,24,112622
1015,1987,20,112884
1015,1988,23,111907
1015,1989,27,110975
1015,1990,27,110464
1015,1991,27,109565
1015,1992,27,109954
1015,1993,25,110480
1015,1994,19,110105
1015,1995,30,110530
1015,1996,28,110444
1015,1997,27,110848
1015,1998,38,110773
1017,1979,22,37340
1017,1980,14,37174
1017,1981,17,37198
1017,1982,18,37078
1017,1983,17,36899
1017,1984,15,36611
1017,1985,13,36082
1017,1986,12,35402
1017,1987,13,35136
1017,1988,12,34712
1017,1989,19,34531
1017,1990,13,34091
1017,1991,14,34069
1017,1992,19,34243
1017,1994,12,34265
1017,1995,10,34366
1017,1996,13,34034
1017,1997,11,33833
1019,1979,8,17825
1019,1980,6,17947
1019,1981,9,18383
1019,1982,3,18571
1019,1983,8,18149
1019,1984,6,17955
1019,1985,3,17858
1019,1986,8,17948
1019,1987,6,18167
1019,1988,5,18403
1019,1990,10,18413
1021,1979,14,29122
