FIPS,Year,DiabDeaths,Population
1001,1979,2,31077
1001,1980,2,31327
1001,1981,2,30961
1001,1982,3,30958
1001,1983,2,30946
1001,1984,2,30944
1001,1985,2,31053
1001,1986,3,31684
1001,1987,2,31999
1001,1988,3,32326
1003,1979,12,73403
1003,1980,5,75148
1003,1981,4,76571
1003,1982,8,78399
1003,1983,3,79797
1003,1984,9,82352
1003,1985,4,84725
1003,1986,6,86371
1003,1987,7,88118
1003,1988,12,89292
1003,1989,11,90661
1003,1990,15,92442
1003,1991,12,96248
1003,1992,13,100036
1003,1993,11,104619
1003,1994,12,109289
1003,1995,10,113342
1003,1996,15,117378
1003,1997,18,121800
1003,1998,18,125666
1005,1979,3,23272
1005,1980,1,23591
1005,1981,5,23513
1005,1982,3,23485
1005,1983,4,23473
1005,1984,3,23568
1005,1986,1,23482
1007,1979,4,14792
1007,1981,3,15029
1007,1982,1,15189
1007,1983,1,15140
1007,1984,3,15183
1007,1985,1,15254
1007,1986,1,15003
1007,1987,1,15243
1007,1988,2,15205
1009,1979,3,34501
1009,1980,1,34907
1009,1981,1,34998
1009,1982,4,34609
1009,1983,1,34680
1009,1984,5,34973
1009,1985,2,35501
1009,1986,1,35983
1009,1987,3,35961
1009,1988,2,36138
1011,1979,1,10234
1011,1980,3,10037
1011,1981,3,10058
1011,1982,2,10008
1011,1983,2,10043
1011,1984,1,10138
1011,1985,2,10052
1011,1987,6,10130
1013,1980,4,20381
1013,1981,4,20753
1013,1982,3,20915
1013,1983,2,20874
1013,1984,1,20868
1013,1985,2,20812
1013,1986,3,20674
1013,1987,1,20708
1013,1988,3,20496
1015,1979,13,112902
1015,1980,12,115803
1015,1981,10,116509
1015,1982,9,117589
1015,1983,12,116465
1015,1984,15,116749
1015,1985,7,113669
1015,1986,7,112622
1015,1987,9,112884
1015,1988,10,111907
1015,1989,15,110975
1015,1990,10,110464
1015,1991,17,109565
1015,1992,11,109954
1015,1993,11,110480
1015,1994,14,110105
1015,1995,18,110530
1015,1996,18,110444
1015,1997,12,110848
1015,1998,10,110773
1017,1979,4,37340
1017,1980,9,37174
1017,1981,4,37198
1017,1982,5,37078
1017,1983,8,36899
1017,1984,4,36611
1017,1985,2,36082
1017,1986,4,35402
1017,1987,5,35136
1017,1988,1,34712
1017,1992,12,34243
1019,1979,1,17825
1019,1980,1,17947
1019,1981,2,18383
1019,1982,2,18571
1019,1983,2,18149
1019,1986,3,17948
1019,1987,2,18167
1021,1979,1,29122
1021,1980,5,29160
1021,1981,2,29182
1021,1982,1,28754
1021,1983,1,29102
1021,1985,2,29807
1021,1986,3,30124
1021,1987,2,30144
1021,1988,3,30427
1023,1979,1,16105
1023,1980,1,15987
1023,1982,1,15487
1023,1983,3,15691
1023,1984,2,15670
1023,1987,2,15573
1023,1988,2,15473
1025,1979,3,26313
1025,1980,1,26367
1025,1981,3,26752
1025,1982,4,26500
1025,1983,2,26337
1025,1984,6,26121
1025,1985,1,25890
1025,1987,6,25987
1025,1988,3,25650
1027,1980,1,12921
1027,1981,1,13040
1027,1982,2,12885
1027,1983,3,12855
1027,1985,4,12738
1027,1986,2,12499
1027,1987,2,12319
1027,1988,1,12247
1029,1979,1,11957
1029,1981,2,12162
1029,1982,1,12216
1029,1983,1,12057
1029,1986,3,11864
1029,1987,1,12021
1031,1979,4,36293
1031,1980,1,36954
1031,1981,2,37976
1031,1982,1,38014
1031,1983,4,38358
1031,1984,5,38275
1031,1985,5,38337
1031,1986,5,38589
1031,1987,7,38294
1031,1988,7,38538
1033,1979,4,51915
1033,1980,6,52247
1033,1981,3,52372
1033,1982,6,51564
1033,1983,2,50950
1033,1984,2,50401
1033,1985,5,50225
1033,1986,4,49797
1033,1987,5,49135
1033,1988,5,48716
1035,1979,1,14937
1035,1980,6,14891
1035,1981,1,14604
1035,1982,2,14447
1035,1983,2,14251
1035,1984,2,14080
1035,1985,3,13932
1035,1986,2,13887
1035,1987,4,13656
1035,1988,2,13329
1037,1979,1,11078
1037,1980,2,10812
1037,1981,3,10850
1037,1982,2,10707
1037,1983,3,10607
1037,1984,1,10585
1037,1985,2,10385
1037,1986,2,10480
1037,1987,1,10502
1039,1979,4,35039
1039,1980,4,34737
1039,1981,1,34719
1039,1982,2,34405
