FIPS,Year,HeartDeaths,Population
1001,1979,40,31077
1001,1980,54,31327
1001,1981,42,30961
1001,1982,51,30958
1001,1983,54,30946
1001,1984,53,30944
1001,1985,43,31053
1001,1986,56,31684
1001,1987,37,31999
1001,1988,47,32326
1001,1989,41,32672
1001,1990,63,32837
1001,1991,44,33577
1001,1992,53,34553
1001,1993,53,35470
1001,1994,54,36668
1001,1995,43,37522
1001,1996,51,38592
1001,1997,48,39568
1001,1998,60,40431
1003,1979,125,73403
1003,1980,125,75148
1003,1981,145,76571
1003,1982,120,78399
1003,1983,145,79797
1003,1984,129,82352
1003,1985,139,84725
1003,1986,136,86371
1003,1987,119,88118
1003,1988,134,89292
1003,1989,103,90661
1003,1990,128,92442
1003,1991,136,96248
1003,1992,139,100036
1003,1993,128,104619
1003,1994,124,109289
1003,1995,132,113342
1003,1996,127,117378
1003,1997,124,121800
1003,1998,170,125666
1005,1979,40,23272
1005,1980,40,23591
1005,1981,44,23513
1005,1982,36,23485
1005,1983,36,23473
1005,1984,35,23568
1005,1985,54,23554
1005,1986,52,23482
1005,1987,46,23592
1005,1988,49,23670
1005,1989,42,23752
1005,1990,56,23798
1005,1991,41,24848
1005,1992,43,25253
1005,1993,42,25622
1005,1994,30,26029
1005,1995,43,26118
1005,1996,43,26489
1005,1997,37,26617
1005,1998,45,27039
1007,1979,38,14792
1007,1980,26,14961
1007,1981,31,15029
1007,1982,29,15189
1007,1983,36,15140
1007,1984,34,15183
1007,1985,32,15254
1007,1986,21,15003
1007,1987,25,15243
1007,1988,24,15205
1007,1989,29,15424
1007,1990,23,15562
1007,1991,24,16060
1007,1992,27,16362
1007,1993,29,16771
1007,1994,20,17000
1007,1995,22,17469
1007,1996,18,17827
1007,1997,19,18285
1007,1998,20,18735
1009,1979,54,34501
1009,1980,56,34907
1009,1981,56,34998
1009,1982,48,34609
1009,1983,55,34680
1009,1984,44,34973
1009,1985,49,35501
1009,1986,52,35983
1009,1987,63,35961
1009,1988,40,36138
1009,1989,72,36614
1009,1990,52,36988
1009,1991,58,37908
1009,1992,42,38468
1009,1993,51,39486
1009,1994,54,40146
1009,1995,49,41622
1009,1996,52,42823
1009,1997,49,44403
1009,1998,57,46160
1011,1979,24,10234
1011,1980,32,10037
1011,1981,23,10058
1011,1982,27,10008
1011,1983,28,10043
1011,1984,23,10138
1011,1985,34,10052
1011,1986,31,9750
1011,1987,15,10130
1011,1988,25,10394
1011,1989,22,10360
1011,1990,26,10194
1011,1991,22,10352
1011,1992,25,10292
1011,1993,23,10391
1011,1994,16,10549
1011,1995,19,10589
1011,1996,15,10761
1011,1997,20,10788
1011,1998,17,10816
1013,1979,46,19904
1013,1980,42,20381
1013,1981,40,20753
1013,1982,42,20915
1013,1983,51,20874
1013,1984,38,20868
1013,1985,51,20812
1013,1986,55,20674
