FIPS,Year,LwrRspDeaths,Population
1001,1979,2,31077
1001,1980,4,31327
1001,1981,6,30961
1001,1982,6,30958
1001,1983,7,30946
1001,1984,5,30944
1001,1985,1,31053
1001,1986,2,31684
1001,1987,4,31999
1001,1988,9,32326
1001,1998,11,40431
1003,1979,11,73403
1003,1980,14,75148
1003,1981,15,76571
1003,1982,11,78399
1003,1983,15,79797
1003,1984,13,82352
1003,1985,19,84725
1003,1986,15,86371
1003,1987,12,88118
1003,1988,8,89292
1003,1989,10,90661
1003,1990,23,92442
1003,1991,28,96248
1003,1992,15,100036
1003,1993,27,104619
1003,1994,27,109289
1003,1995,20,113342
1003,1996,24,117378
1003,1997,30,121800
1003,1998,29,125666
1005,1979,4,23272
1005,1980,4,23591
1005,1981,5,23513
1005,1982,3,23485
1005,1983,5,23473
1005,1984,3,23568
1005,1985,7,23554
1005,1986,3,23482
1005,1987,6,23592
1005,1988,5,23670
1007,1979,2,14792
1007,1981,1,15029
1007,1982,1,15189
1007,1983,6,15140
1007,1984,2,15183
1007,1985,1,15254
1007,1986,1,15003
1007,1987,7,15243
1007,1988,3,15205
1009,1979,7,34501
1009,1980,4,34907
1009,1981,7,34998
1009,1982,9,34609
1009,1983,3,34680
1009,1984,11,34973
1009,1985,4,35501
1009,1986,8,35983
1009,1987,8,35961
1009,1988,9,36138
1009,1994,12,40146
1009,1995,13,41622
1009,1998,12,46160
1011,1979,1,10234
1011,1980,1,10037
1011,1981,1,10058
1011,1983,2,10043
1011,1984,1,10138
1011,1985,1,10052
1011,1986,1,9750
1011,1987,1,10130
1011,1988,3,10394
1013,1979,2,19904
1013,1980,2,20381
1013,1981,1,20753
1013,1983,2,20874
1013,1984,2,20868
1013,1985,4,20812
1013,1986,5,20674
1013,1987,2,20708
1013,1988,2,20496
1015,1979,33,112902
1015,1980,27,115803
1015,1981,20,116509
1015,1982,22,117589
1015,1983,30,116465
1015,1984,24,116749
1015,1985,25,113669
1015,1986,25,112622
1015,1987,26,112884
1015,1988,23,111907
1015,1989,27,110975
1015,1990,21,110464
1015,1991,28,109565
1015,1992,34,109954
1015,1993,27,110480
1015,1994,32,110105
1015,1995,33,110530
1015,1996,33,110444
1015,1997,31,110848
1015,1998,23,110773
1017,1979,6,37340
1017,1980,6,37174
1017,1981,5,37198
1017,1982,10,37078
1017,1983,6,36899
1017,1984,7,36611
1017,1985,6,36082
1017,1986,6,35402
1017,1987,9,35136
1017,1988,6,34712
1017,1994,12,34265
1017,1998,10,33926
1019,1979,2,17825
1019,1980,4,17947
1019,1981,4,18383
1019,1982,3,18571
1019,1983,3,18149
1019,1984,1,17955
1019,1985,2,17858
1019,1986,2,17948
1019,1987,3,18167
1019,1988,3,18403
1021,1979,5,29122
1021,1980,6,29160
1021,1981,6,29182
1021,1982,9,28754
1021,1983,6,29102
1021,1984,4,29391
1021,1985,2,29807
1021,1986,3,30124
1021,1987,5,30144
1021,1988,10,30427
