FIPS,Year,SuicDeaths,Population
1001,1979,4,31077
1001,1980,3,31327
1001,1981,3,30961
1001,1982,2,30958
1001,1983,6,30946
1001,1984,6,30944
1001,1985,6,31053
1001,1986,4,31684
1001,1987,2,31999
1001,1988,5,32326
1003,1979,8,73403
1003,1980,3,75148
1003,1981,8,76571
1003,1982,7,78399
1003,1983,14,79797
1003,1984,15,82352
1003,1985,14,84725
1003,1986,10,86371
1003,1987,5,88118
1003,1988,16,89292
1003,1989,16,90661
1003,1990,14,92442
1003,1991,17,96248
1003,1992,14,100036
1003,1993,18,104619
1003,1994,13,109289
1003,1995,11,113342
1003,1996,20,117378
1003,1997,12,121800
1003,1998,15,125666
1005,1979,6,23272
1005,1980,4,23591
1005,1981,4,23513
1005,1982,6,23485
1005,1984,6,23568
1005,1985,3,23554
1005,1986,5,23482
1005,1987,2,23592
1005,1988,2,23670
1007,1979,3,14792
1007,1980,2,14961
1007,1981,1,15029
1007,1982,3,15189
1007,1983,1,15140
1007,1985,1,15254
1007,1986,1,15003
1007,1988,1,15205
1009,1979,8,34501
1009,1980,7,34907
1009,1981,2,34998
1009,1982,4,34609
1009,1983,2,34680
1009,1984,2,34973
1009,1985,4,35501
1009,1986,2,35983
1009,1987,3,35961
1009,1988,4,36138
1011,1980,1,10037
1011,1983,2,10043
1011,1985,2,10052
1011,1986,1,9750
1011,1987,3,10130
1011,1988,1,10394
1013,1979,3,19904
1013,1980,2,20381
1013,1983,2,20874
1013,1984,2,20868
1013,1985,2,20812
1013,1986,1,20674
1013,1987,1,20708
1013,1988,7,20496
1015,1979,11,112902
1015,1980,9,115803
1015,1981,2,116509
1015,1982,14,117589
1015,1983,14,116465
1015,1984,16,116749
1015,1985,14,113669
1015,1986,16,112622
1015,1987,15,112884
1015,1988,15,111907
1015,1989,13,110975
1015,1990,15,110464
1015,1991,21,109565
1015,1992,15,109954
1015,1993,27,110480
1015,1994,17,110105
1015,1995,17,110530
1015,1996,21,110444
1015,1997,18,110848
1015,1998,14,110773
1017,1979,4,37340
1017,1980,7,37174
1017,1981,6,37198
1017,1982,6,37078
1017,1983,5,36899
1017,1984,4,36611
1017,1985,9,36082
1017,1986,9,35402
1017,1987,8,35136
1017,1988,3,34712
1019,1979,1,17825
1019,1980,4,17947
