FIPS,Year,UnintInjDeaths,Population
1001,1979,20,31077
1001,1980,11,31327
1001,1981,18,30961
1001,1982,17,30958
1001,1983,21,30946
1001,1984,13,30944
1001,1985,15,31053
1001,1986,26,31684
1001,1987,26,31999
1001,1988,17,32326
1001,1989,15,32672
1001,1990,16,32837
1001,1991,21,33577
1001,1992,12,34553
1001,1993,16,35470
1001,1994,18,36668
1001,1995,16,37522
1001,1996,10,38592
1001,1997,15,39568
1001,1998,16,40431
1003,1979,35,73403
1003,1980,36,75148
1003,1981,40,76571
1003,1982,23,78399
1003,1983,46,79797
1003,1984,45,82352
1003,1985,29,84725
1003,1986,48,86371
1003,1987,36,88118
1003,1988,40,89292
1003,1989,33,90661
1003,1990,35,92442
1003,1991,36,96248
1003,1992,36,100036
1003,1993,35,104619
1003,1994,51,109289
1003,1995,49,113342
1003,1996,50,117378
1003,1997,43,121800
1003,1998,60,125666
1005,1979,17,23272
1005,1980,9,23591
1005,1981,16,23513
1005,1982,15,23485
1005,1983,13,23473
1005,1984,8,23568
1005,1985,16,23554
1005,1986,12,23482
1005,1987,12,23592
1005,1988,14,23670
1005,1989,22,23752
1005,1990,33,23798
1005,1991,13,24848
1005,1992,13,25253
1005,1993,16,25622
1005,1994,10,26029
1005,1995,22,26118
1005,1997,16,26617
1005,1998,10,27039
1007,1979,16,14792
1007,1980,10,14961
1007,1981,7,15029
1007,1982,7,15189
1007,1983,11,15140
1007,1984,7,15183
1007,1985,13,15254
1007,1986,13,15003
1007,1987,13,15243
1007,1988,12,15205
1007,1989,10,15424
1007,1991,12,16060
1007,1997,17,18285
1009,1979,10,34501
1009,1980,20,34907
1009,1981,27,34998
1009,1982,20,34609
1009,1983,21,34680
1009,1984,20,34973
1009,1985,14,35501
1009,1986,17,35983
1009,1987,12,35961
1009,1988,13,36138
1009,1989,22,36614
1009,1990,26,36988
1009,1991,24,37908
1009,1992,16,38468
1009,1993,14,39486
1009,1994,26,40146
1009,1995,29,41622
1009,1996,15,42823
1009,1997,20,44403
1009,1998,24,46160
1011,1979,10,10234
1011,1980,3,10037
1011,1981,3,10058
1011,1982,7,10008
1011,1983,2,10043
1011,1984,4,10138
1011,1985,5,10052
1011,1986,8,9750
1011,1987,10,10130
1011,1988,5,10394
1011,1992,13,10292
1011,1994,11,10549
1011,1996,10,10761
1011,1997,11,10788
1011,1998,11,10816
1013,1979,12,19904
1013,1980,12,20381
1013,1981,13,20753
1013,1982,16,20915
1013,1983,12,20874
1013,1984,13,20868
1013,1985,11,20812
1013,1986,6,20674
1013,1987,7,20708
1013,1988,13,20496
1013,1989,18,20283
1013,1990,11,20103
1013,1991,22,19969
1013,1992,10,19985
1013,1993,10,20032
1013,1994,20,20069
1013,1996,13,20121
1013,1997,20,20099
1013,1998,15,19971
1015,1979,49,112902
1015,1980,52,115803
1015,1981,42,116509
1015,1982,41,117589
1015,1983,41,116465
1015,1984,33,116749
1015,1985,40,113669
1015,1986,62,112622
1015,1987,59,112884
1015,1988,46,111907
1015,1989,52,110975
1015,1990,56,110464
1015,1991,54,109565
1015,1992,45,109954
1015,1993,39,110480
1015,1994,32,110105
1015,1995,37,110530
1015,1996,47,110444
1015,1997,60,110848
1015,1998,43,110773
1017,1979,25,37340
1017,1980,24,37174
1017,1981,22,37198
1017,1982,9,37078
1017,1983,23,36899
1017,1984,10,36611
1017,1985,22,36082
1017,1986,15,35402
1017,1987,17,35136
1017,1988,15,34712
1017,1989,20,34531
1017,1990,16,34091
1017,1991,22,34069
1017,1992,23,34243
1017,1993,15,34161
1017,1994,15,34265
1017,1995,13,34366
1017,1996,18,34034
1017,1997,15,33833
1017,1998,12,33926
1019,1979,19,17825
1019,1980,17,17947
1019,1981,8,18383
1019,1982,10,18571
1019,1983,14,18149
1019,1984,13,17955
1019,1985,4,17858
1019,1986,10,17948
1019,1987,9,18167
1019,1988,12,18403
1019,1989,21,18333
1019,1990,20,18413
1019,1991,11,18685
1019,1993,14,19498
1019,1994,28,19924
1019,1995,11,20518
1019,1997,17,21464
1019,1998,11,21878
1021,1979,22,29122
1021,1980,10,29160
1021,1981,15,29182
1021,1982,17,28754
1021,1983,20,29102
1021,1984,14,29391
1021,1985,20,29807
1021,1986,18,30124
1021,1987,17,30144
1021,1988,22,30427
1021,1989,14,30422
1021,1990,16,30475
1021,1991,22,31141
1021,1992,15,31502
1021,1993,17,32030
1021,1994,19,32702
1021,1995,19,33460
1021,1996,23,34382
1021,1997,14,35155
1021,1998,25,35893
1023,1979,9,16105
1023,1980,20,15987
1023,1981,13,15785
1023,1982,2,15487
1023,1983,9,15691
1023,1984,12,15670
1023,1985,15,15740
1023,1986,17,15742
1023,1987,12,15573
1023,1988,5,15473
1023,1989,11,15148
1023,1990,14,15008
1023,1991,10,15003
1023,1995,12,15178
1023,1996,11,15206
1023,1998,10,15130
1025,1979,12,26313
1025,1980,18,26367
1025,1981,23,26752
1025,1982,15,26500
1025,1983,14,26337
1025,1984,17,26121
1025,1985,23,25890
1025,1986,22,25823
1025,1987,15,25987
1025,1988,16,25650
1025,1989,12,25599
1025,1990,14,25660
1025,1991,21,25795
1025,1992,20,25906
1025,1993,21,25957
1025,1994,28,26057
1025,1995,27,25854
1025,1996,25,25900
1025,1997,18,26321
1025,1998,11,26148
1027,1979,11,13127
1027,1980,10,12921
1027,1981,12,13040
1027,1982,4,12885
1027,1983,8,12855
1027,1984,10,12713
1027,1985,3,12738
1027,1986,12,12499
1027,1987,11,12319
1027,1988,16,12247
1027,1997,10,12838
1029,1979,5,11957
1029,1980,10,11982
1029,1981,5,12162
1029,1982,8,12216
1029,1983,2,12057
1029,1984,4,11936
1029,1985,14,11972
1029,1986,10,11864
1029,1987,10,12021
1029,1988,14,12035
1029,1993,12,12279
1029,1996,13,12467
1029,1997,11,12939
1031,1979,19,36293
1031,1980,16,36954
1031,1981,21,37976
1031,1982,20,38014
1031,1983,15,38358
1031,1984,13,38275
1031,1985,25,38337
1031,1986,15,38589
1031,1987,20,38294
1031,1988,20,38538
1031,1989,11,38184
1031,1990,23,38038
1031,1991,14,38288
1031,1992,33,39041
1031,1993,14,39501
1031,1994,18,40167
1031,1995,23,40570
1031,1996,13,40496
1031,1997,22,40467
1031,1998,13,40726
1033,1979,39,51915
1033,1980,16,52247
1033,1981,22,52372
1033,1982,27,51564
1033,1983,18,50950
1033,1984,22,50401
1033,1985,14,50225
1033,1986,19,49797
1033,1987,24,49135
1033,1988,27,48716
1033,1989,18,48537
1033,1990,32,48761
1033,1991,25,49420
1033,1992,26,49625
1033,1993,23,50105
1033,1994,19,50112
1033,1995,25,50241
1033,1996,20,50641
1033,1997,24,51223
1033,1998,15,51201
1035,1979,16,14937
1035,1980,11,14891
1035,1981,4,14604
1035,1982,8,14447
1035,1983,7,14251
1035,1984,6,14080
1035,1985,8,13932
1035,1986,6,13887
1035,1987,15,13656
1035,1988,4,13329
1035,1989,12,13112
1035,1990,17,12976
1035,1992,13,13131
1035,1993,14,13179
1035,1996,19,13414
1037,1979,10,11078
1037,1980,7,10812
1037,1981,7,10850
1037,1982,5,10707
1037,1983,7,10607
1037,1984,10,10585
1037,1985,7,10385
1037,1986,12,10480
1037,1987,3,10502
1037,1988,7,10392
1037,1992,10,10476
1037,1993,10,10749
1037,1994,11,11057
1037,1998,10,11215
1039,1979,22,35039
1039,1980,22,34737
1039,1981,19,34719
1039,1982,16,34405
1039,1983,21,34415
1039,1984,14,34502
1039,1985,18,34616
1039,1986,16,34155
1039,1987,16,34058
1039,1988,24,33877
1039,1989,21,33796
1039,1990,20,33649
1039,1991,18,33731
1039,1992,15,34053
1039,1993,18,34264
1039,1994,16,34025
1039,1995,15,34503
1039,1996,11,34655
1039,1997,26,34642
1039,1998,24,34595
1041,1979,10,13187
1041,1980,14,13222
1041,1981,12,13187
1041,1982,8,13008
1041,1983,9,12951
1041,1984,6,12866
1041,1985,8,12869
1041,1986,6,12831
1041,1987,10,12782
1041,1988,10,12740
1041,1990,12,12522
1041,1997,10,12560
1043,1979,30,58708
1043,1980,30,58832
1043,1981,34,58952
1043,1982,30,59222
1043,1983,39,59749
1043,1984,34,60928
1043,1985,30,61420
1043,1986,21,62063
1043,1987,27,62437
1043,1988,35,62642
1043,1989,23,62933
1043,1990,41,63462
