County,FIPS,Year,Year Code,CancerDeaths,Population
"Autauga County, AL",1001,1999,1999,56,41208
"Autauga County, AL",1001,2000,2000,46,41901
"Autauga County, AL",1001,2001,2001,42,43063
"Autauga County, AL",1001,2002,2002,61,44030
"Autauga County, AL",1001,2003,2003,48,44859
"Autauga County, AL",1001,2004,2004,58,46304
"Autauga County, AL",1001,2005,2005,54,47548
"Autauga County, AL",1001,2006,2006,71,49092
"Autauga County, AL",1001,2007,2007,58,50125
"Autauga County, AL",1001,2008,2008,79,50937
"Autauga County, AL",1001,2009,2009,70,51675
"Autauga County, AL",1001,2010,2010,52,52038
"Autauga County, AL",1001,2011,2011,51,52633
"Autauga County, AL",1001,2012,2012,75,52674
"Autauga County, AL",1001,2013,2013,90,52275
"Autauga County, AL",1001,2014,2014,79,52298
"Autauga County, AL",1001,2015,2015,81,52124
"Autauga County, AL",1001,2016,2016,63,52049
"Autauga County, AL",1001,2017,2017,61,51959
"Baldwin County, AL",1003,1999,1999,189,128419
"Baldwin County, AL",1003,2000,2000,178,131067
"Baldwin County, AL",1003,2001,2001,198,135052
"Baldwin County, AL",1003,2002,2002,209,137819
"Baldwin County, AL",1003,2003,2003,215,140920
"Baldwin County, AL",1003,2004,2004,224,145414
"Baldwin County, AL",1003,2005,2005,198,151030
"Baldwin County, AL",1003,2006,2006,219,156588
"Baldwin County, AL",1003,2007,2007,250,160489
"Baldwin County, AL",1003,2008,2008,207,163646
"Baldwin County, AL",1003,2009,2009,199,166964
"Baldwin County, AL",1003,2010,2010,255,169500
"Baldwin County, AL",1003,2011,2011,241,173457
"Baldwin County, AL",1003,2012,2012,253,177037
"Baldwin County, AL",1003,2013,2013,253,181200
"Baldwin County, AL",1003,2014,2014,276,185219
"Baldwin County, AL",1003,2015,2015,273,188252
"Baldwin County, AL",1003,2016,2016,261,192342
"Baldwin County, AL",1003,2017,2017,266,195902
"Barbour County, AL",1005,1999,1999,34,27040
"Barbour County, AL",1005,2000,2000,44,27203
"Barbour County, AL",1005,2001,2001,49,27068
"Barbour County, AL",1005,2002,2002,37,26905
"Barbour County, AL",1005,2003,2003,31,26852
"Barbour County, AL",1005,2004,2004,27,26519
"Barbour County, AL",1005,2005,2005,35,26296
"Barbour County, AL",1005,2006,2006,26,26156
"Barbour County, AL",1005,2007,2007,34,26025
"Barbour County, AL",1005,2008,2008,33,26058
"Barbour County, AL",1005,2009,2009,46,25983
"Barbour County, AL",1005,2010,2010,37,25786
"Barbour County, AL",1005,2011,2011,35,25443
"Barbour County, AL",1005,2012,2012,47,25489
"Barbour County, AL",1005,2013,2013,36,25344
"Barbour County, AL",1005,2014,2014,31,25104
"Barbour County, AL",1005,2015,2015,38,24713
"Barbour County, AL",1005,2016,2016,31,24115
"Barbour County, AL",1005,2017,2017,54,23394
"Bibb County, AL",1007,1999,1999,33,19476
"Bibb County, AL",1007,2000,2000,23,19737
"Bibb County, AL",1007,2001,2001,33,19803
"Bibb County, AL",1007,2002,2002,22,20013
"Bibb County, AL",1007,2003,2003,31,20241
"Bibb County, AL",1007,2004,2004,31,20575
"Bibb County, AL",1007,2005,2005,34,20900
"Bibb County, AL",1007,2006,2006,29,20934
"Bibb County, AL",1007,2007,2007,21,21257
"Bibb County, AL",1007,2008,2008,39,21509
"Bibb County, AL",1007,2009,2009,27,21745
"Bibb County, AL",1007,2010,2010,32,21732
"Bibb County, AL",1007,2011,2011,41,21537
"Bibb County, AL",1007,2012,2012,45,21360
"Bibb County, AL",1007,2013,2013,38,21242
"Bibb County, AL",1007,2014,2014,36,21167
"Bibb County, AL",1007,2015,2015,26,21215
"Bibb County, AL",1007,2016,2016,35,21236
"Bibb County, AL",1007,2017,2017,34,21202
"Blount County, AL",1009,1999,1999,64,47495
"Blount County, AL",1009,2000,2000,81,48231
"Blount County, AL",1009,2001,2001,67,48994
"Blount County, AL",1009,2002,2002,66,49676
"Blount County, AL",1009,2003,2003,72,50585
"Blount County, AL",1009,2004,2004,68,51156
"Blount County, AL",1009,2005,2005,67,51537
"Blount County, AL",1009,2006,2006,71,52329
"Blount County, AL",1009,2007,2007,61,53058
"Blount County, AL",1009,2008,2008,68,53828
"Blount County, AL",1009,2009,2009,78,54007
"Blount County, AL",1009,2010,2010,77,53962
"Blount County, AL",1009,2011,2011,85,54195
"Blount County, AL",1009,2012,2012,63,54189
"Blount County, AL",1009,2013,2013,68,54122
"Blount County, AL",1009,2014,2014,75,53837
"Blount County, AL",1009,2015,2015,77,53666
"Blount County, AL",1009,2016,2016,106,53576
"Blount County, AL",1009,2017,2017,87,53865
"Bullock County, AL",1011,1999,1999,12,10897
"Bullock County, AL",1011,2000,2000,10,10861
"Bullock County, AL",1011,2001,2001,18,10540
"Bullock County, AL",1011,2002,2002,14,10420
"Bullock County, AL",1011,2003,2003,13,10515
"Bullock County, AL",1011,2004,2004,10,10293
"Bullock County, AL",1011,2005,2005,21,10285
"Bullock County, AL",1011,2006,2006,13,10090
"Bullock County, AL",1011,2007,2007,17,10330
"Bullock County, AL",1011,2008,2008,16,10285
"Bullock County, AL",1011,2009,2009,15,10336
"Bullock County, AL",1011,2010,2010,17,10280
"Bullock County, AL",1011,2011,2011,12,9918
"Bullock County, AL",1011,2012,2012,10,9803
"Bullock County, AL",1011,2013,2013,19,9975
"Bullock County, AL",1011,2014,2014,23,10088
"Bullock County, AL",1011,2015,2015,17,10002
"Bullock County, AL",1011,2016,2016,23,9642
"Bullock County, AL",1011,2017,2017,15,9622
"Butler County, AL",1013,1999,1999,31,19856
"Butler County, AL",1013,2000,2000,25,19653
"Butler County, AL",1013,2001,2001,31,19360
"Butler County, AL",1013,2002,2002,28,19088
"Butler County, AL",1013,2003,2003,33,19076
"Butler County, AL",1013,2004,2004,33,19142
"Butler County, AL",1013,2005,2005,26,19124
"Butler County, AL",1013,2006,2006,32,19108
"Butler County, AL",1013,2007,2007,28,19229
"Butler County, AL",1013,2008,2008,38,19278
"Butler County, AL",1013,2009,2009,38,19198
"Butler County, AL",1013,2010,2010,22,19287
"Butler County, AL",1013,2011,2011,24,18939
"Butler County, AL",1013,2012,2012,34,18617
"Butler County, AL",1013,2013,2013,39,18570
"Butler County, AL",1013,2014,2014,38,18589
"Butler County, AL",1013,2015,2015,27,18436
"Butler County, AL",1013,2016,2016,33,18295
"Butler County, AL",1013,2017,2017,19,18073
"Calhoun County, AL",1015,1999,1999,162,108096
"Calhoun County, AL",1015,2000,2000,189,105326
"Calhoun County, AL",1015,2001,2001,174,104390
"Calhoun County, AL",1015,2002,2002,148,104773
"Calhoun County, AL",1015,2003,2003,137,105682
"Calhoun County, AL",1015,2004,2004,174,106424
"Calhoun County, AL",1015,2005,2005,184,107285
"Calhoun County, AL",1015,2006,2006,159,108233
"Calhoun County, AL",1015,2007,2007,186,108959
"Calhoun County, AL",1015,2008,2008,166,109911
"Calhoun County, AL",1015,2009,2009,149,110894
"Calhoun County, AL",1015,2010,2010,176,111019
"Calhoun County, AL",1015,2011,2011,165,110256
"Calhoun County, AL",1015,2012,2012,176,109667
"Calhoun County, AL",1015,2013,2013,169,109021
"Calhoun County, AL",1015,2014,2014,158,108253
"Calhoun County, AL",1015,2015,2015,160,107882
"Calhoun County, AL",1015,2016,2016,181,106784
"Calhoun County, AL",1015,2017,2017,150,106740
"Chambers County, AL",1017,1999,1999,51,33608
"Chambers County, AL",1017,2000,2000,53,33647
"Chambers County, AL",1017,2001,2001,55,33384
"Chambers County, AL",1017,2002,2002,58,33174
"Chambers County, AL",1017,2003,2003,45,32911
"Chambers County, AL",1017,2004,2004,47,32768
"Chambers County, AL",1017,2005,2005,56,32592
"Chambers County, AL",1017,2006,2006,64,32302
"Chambers County, AL",1017,2007,2007,65,32258
"Chambers County, AL",1017,2008,2008,58,31952
"Chambers County, AL",1017,2009,2009,50,31780
"Chambers County, AL",1017,2010,2010,50,31617
"Chambers County, AL",1017,2011,2011,61,31357
"Chambers County, AL",1017,2012,2012,77,31454
"Chambers County, AL",1017,2013,2013,49,31565
"Chambers County, AL",1017,2014,2014,56,31452
"Chambers County, AL",1017,2015,2015,62,31505
"Chambers County, AL",1017,2016,2016,50,31190
"Chambers County, AL",1017,2017,2017,53,31075
"Cherokee County, AL",1019,1999,1999,39,22071
"Cherokee County, AL",1019,2000,2000,37,22435
"Cherokee County, AL",1019,2001,2001,38,22630
"Cherokee County, AL",1019,2002,2002,38,22828
"Cherokee County, AL",1019,2003,2003,44,22983
"Cherokee County, AL",1019,2004,2004,43,23275
"Cherokee County, AL",1019,2005,2005,46,23374
"Cherokee County, AL",1019,2006,2006,41,23755
"Cherokee County, AL",1019,2007,2007,44,23831
"Cherokee County, AL",1019,2008,2008,47,23913
"Cherokee County, AL",1019,2009,2009,34,24134
"Cherokee County, AL",1019,2010,2010,38,24247
"Cherokee County, AL",1019,2011,2011,42,24244
"Cherokee County, AL",1019,2012,2012,50,24142
"Cherokee County, AL",1019,2013,2013,53,24222
"Cherokee County, AL",1019,2014,2014,62,24028
"Cherokee County, AL",1019,2015,2015,44,23799
"Cherokee County, AL",1019,2016,2016,49,23612
"Cherokee County, AL",1019,2017,2017,43,23603
