County,FIPS,Year,Year Code,CerebroDeaths,Population
"Autauga County, AL",1001,2003,2003,10,44859
"Autauga County, AL",1001,2006,2006,10,49092
"Autauga County, AL",1001,2010,2010,11,52038
"Autauga County, AL",1001,2011,2011,11,52633
"Autauga County, AL",1001,2012,2012,15,52674
"Autauga County, AL",1001,2014,2014,11,52298
"Autauga County, AL",1001,2015,2015,14,52124
"Autauga County, AL",1001,2016,2016,11,52049
"Autauga County, AL",1001,2017,2017,11,51959
"Baldwin County, AL",1003,1999,1999,25,128419
"Baldwin County, AL",1003,2000,2000,25,131067
"Baldwin County, AL",1003,2001,2001,25,135052
"Baldwin County, AL",1003,2002,2002,29,137819
"Baldwin County, AL",1003,2003,2003,16,140920
"Baldwin County, AL",1003,2004,2004,31,145414
"Baldwin County, AL",1003,2005,2005,33,151030
"Baldwin County, AL",1003,2006,2006,35,156588
"Baldwin County, AL",1003,2007,2007,19,160489
"Baldwin County, AL",1003,2008,2008,26,163646
"Baldwin County, AL",1003,2009,2009,37,166964
"Baldwin County, AL",1003,2010,2010,26,169500
"Baldwin County, AL",1003,2011,2011,29,173457
"Baldwin County, AL",1003,2012,2012,27,177037
"Baldwin County, AL",1003,2013,2013,26,181200
"Baldwin County, AL",1003,2014,2014,34,185219
"Baldwin County, AL",1003,2015,2015,34,188252
"Baldwin County, AL",1003,2016,2016,23,192342
"Baldwin County, AL",1003,2017,2017,36,195902
"Barbour County, AL",1005,2000,2000,10,27203
"Barbour County, AL",1005,2016,2016,10,24115
"Bibb County, AL",1007,1999,1999,13,19476
"Bibb County, AL",1007,2002,2002,13,20013
"Bibb County, AL",1007,2003,2003,11,20241
"Bibb County, AL",1007,2004,2004,12,20575
"Bibb County, AL",1007,2005,2005,18,20900
"Bibb County, AL",1007,2006,2006,16,20934
"Bibb County, AL",1007,2007,2007,15,21257
"Blount County, AL",1009,2003,2003,13,50585
"Blount County, AL",1009,2004,2004,15,51156
"Blount County, AL",1009,2005,2005,11,51537
"Blount County, AL",1009,2007,2007,10,53058
"Blount County, AL",1009,2008,2008,12,53828
"Blount County, AL",1009,2009,2009,12,54007
"Blount County, AL",1009,2011,2011,13,54195
"Blount County, AL",1009,2012,2012,11,54189
"Blount County, AL",1009,2014,2014,12,53837
"Blount County, AL",1009,2016,2016,14,53576
"Blount County, AL",1009,2017,2017,11,53865
"Butler County, AL",1013,2000,2000,12,19653
"Butler County, AL",1013,2002,2002,10,19088
"Butler County, AL",1013,2015,2015,12,18436
"Butler County, AL",1013,2016,2016,10,18295
"Calhoun County, AL",1015,1999,1999,29,108096
"Calhoun County, AL",1015,2000,2000,23,105326
"Calhoun County, AL",1015,2001,2001,25,104390
"Calhoun County, AL",1015,2002,2002,33,104773
"Calhoun County, AL",1015,2003,2003,29,105682
"Calhoun County, AL",1015,2004,2004,23,106424
"Calhoun County, AL",1015,2005,2005,31,107285
"Calhoun County, AL",1015,2006,2006,32,108233
"Calhoun County, AL",1015,2007,2007,17,108959
"Calhoun County, AL",1015,2008,2008,29,109911
"Calhoun County, AL",1015,2009,2009,31,110894
"Calhoun County, AL",1015,2010,2010,21,111019
"Calhoun County, AL",1015,2011,2011,19,110256
"Calhoun County, AL",1015,2012,2012,18,109667
"Calhoun County, AL",1015,2013,2013,26,109021
"Calhoun County, AL",1015,2014,2014,27,108253
"Calhoun County, AL",1015,2015,2015,29,107882
"Calhoun County, AL",1015,2016,2016,19,106784
"Calhoun County, AL",1015,2017,2017,23,106740
"Chambers County, AL",1017,1999,1999,18,33608
"Chambers County, AL",1017,2000,2000,10,33647
"Chambers County, AL",1017,2001,2001,10,33384
"Chambers County, AL",1017,2003,2003,11,32911
"Chambers County, AL",1017,2004,2004,11,32768
"Chambers County, AL",1017,2005,2005,13,32592
"Chambers County, AL",1017,2006,2006,15,32302
"Chambers County, AL",1017,2007,2007,12,32258
"Chambers County, AL",1017,2008,2008,14,31952
"Chambers County, AL",1017,2009,2009,16,31780
"Chambers County, AL",1017,2010,2010,13,31617
