County,FIPS,Year,Year Code,DiabDeaths,Population
"Autauga County, AL",1001,2002,2002,10,44030
"Autauga County, AL",1001,2003,2003,13,44859
"Autauga County, AL",1001,2004,2004,15,46304
"Autauga County, AL",1001,2011,2011,12,52633
"Autauga County, AL",1001,2014,2014,12,52298
"Autauga County, AL",1001,2015,2015,11,52124
"Autauga County, AL",1001,2016,2016,12,52049
"Baldwin County, AL",1003,1999,1999,17,128419
"Baldwin County, AL",1003,2000,2000,19,131067
"Baldwin County, AL",1003,2001,2001,22,135052
"Baldwin County, AL",1003,2002,2002,21,137819
"Baldwin County, AL",1003,2003,2003,24,140920
"Baldwin County, AL",1003,2004,2004,18,145414
"Baldwin County, AL",1003,2005,2005,23,151030
"Baldwin County, AL",1003,2006,2006,20,156588
"Baldwin County, AL",1003,2007,2007,20,160489
"Baldwin County, AL",1003,2008,2008,12,163646
"Baldwin County, AL",1003,2009,2009,25,166964
"Baldwin County, AL",1003,2010,2010,22,169500
"Baldwin County, AL",1003,2011,2011,20,173457
"Baldwin County, AL",1003,2012,2012,24,177037
"Baldwin County, AL",1003,2013,2013,22,181200
"Baldwin County, AL",1003,2014,2014,22,185219
"Baldwin County, AL",1003,2015,2015,30,188252
"Baldwin County, AL",1003,2016,2016,13,192342
"Baldwin County, AL",1003,2017,2017,21,195902
"Butler County, AL",1013,2009,2009,10,19198
"Butler County, AL",1013,2010,2010,10,19287
"Butler County, AL",1013,2016,2016,11,18295
"Calhoun County, AL",1015,1999,1999,20,108096
"Calhoun County, AL",1015,2000,2000,17,105326
"Calhoun County, AL",1015,2001,2001,18,104390
"Calhoun County, AL",1015,2002,2002,16,104773
"Calhoun County, AL",1015,2003,2003,10,105682
"Calhoun County, AL",1015,2005,2005,15,107285
"Calhoun County, AL",1015,2007,2007,14,108959
"Calhoun County, AL",1015,2008,2008,15,109911
"Calhoun County, AL",1015,2009,2009,12,110894
"Calhoun County, AL",1015,2010,2010,12,111019
"Calhoun County, AL",1015,2011,2011,13,110256
"Calhoun County, AL",1015,2013,2013,16,109021
"Calhoun County, AL",1015,2014,2014,10,108253
"Calhoun County, AL",1015,2015,2015,22,107882
"Calhoun County, AL",1015,2017,2017,13,106740
"Chambers County, AL",1017,1999,1999,12,33608
"Chambers County, AL",1017,2008,2008,12,31952
"Chambers County, AL",1017,2010,2010,10,31617
"Chambers County, AL",1017,2012,2012,15,31454
"Chambers County, AL",1017,2013,2013,20,31565
"Chambers County, AL",1017,2014,2014,19,31452
"Chambers County, AL",1017,2015,2015,18,31505
"Chambers County, AL",1017,2016,2016,13,31190
"Chambers County, AL",1017,2017,2017,12,31075
"Colbert County, AL",1033,2000,2000,10,51063
"Colbert County, AL",1033,2001,2001,15,50831
"Colbert County, AL",1033,2002,2002,10,50520
"Colbert County, AL",1033,2004,2004,10,50290
"Colbert County, AL",1033,2016,2016,10,49724
"Covington County, AL",1039,2010,2010,12,34551
"Cullman County, AL",1043,2003,2003,15,72480
"Cullman County, AL",1043,2004,2004,11,72914
"Cullman County, AL",1043,2005,2005,13,73437
"Cullman County, AL",1043,2006,2006,12,73740
"Cullman County, AL",1043,2008,2008,11,74923
"Cullman County, AL",1043,2011,2011,17,75055
"Cullman County, AL",1043,2012,2012,24,74888
"Cullman County, AL",1043,2013,2013,21,75143
"Cullman County, AL",1043,2014,2014,20,75479
"Cullman County, AL",1043,2015,2015,26,76063
"Cullman County, AL",1043,2016,2016,19,76362
"Cullman County, AL",1043,2017,2017,11,76591
"Dale County, AL",1045,2002,2002,12,46798
"Dale County, AL",1045,2004,2004,12,46560
"Dale County, AL",1045,2006,2006,14,46270
"Dale County, AL",1045,2009,2009,13,47014
"Dale County, AL",1045,2010,2010,13,47409
"Dale County, AL",1045,2011,2011,15,47155
"Dale County, AL",1045,2012,2012,12,47445
"Dale County, AL",1045,2013,2013,14,46829
"Dale County, AL",1045,2016,2016,10,45882
"Dale County, AL",1045,2017,2017,15,45846
"Dallas County, AL",1047,2002,2002,18,42477
"Dallas County, AL",1047,2003,2003,14,42348
"Dallas County, AL",1047,2004,2004,17,42089
"Dallas County, AL",1047,2006,2006,14,41647
"Dallas County, AL",1047,2007,2007,10,41515
"DeKalb County, AL",1049,2000,2000,11,60411
"DeKalb County, AL",1049,2004,2004,12,63307
"DeKalb County, AL",1049,2008,2008,13,66139
"DeKalb County, AL",1049,2011,2011,13,67172
