FIPS,Year,SubUseDisDeaths,Population
1003,1999,22,128419
1003,2000,19,131067
1003,2001,20,135052
1003,2002,31,137819
1003,2003,23,140920
1003,2004,30,145414
1003,2005,42,151030
1003,2006,35,156588
1003,2007,47,160489
1003,2008,41,163646
1009,2008,23,53828
1015,1999,13,108096
1015,2000,10,105326
1015,2001,12,104390
1015,2005,15,107285
1015,2006,16,108233
1015,2007,20,108959
1015,2008,23,109911
1019,2007,10,23831
1021,2006,15,39987
1033,2007,10,50265
1043,2008,16,74923
1049,2006,10,64489
1049,2007,13,65348
1049,2008,14,66139
1051,2008,10,74071
1053,2002,10,35657
1053,2006,14,35333
1053,2007,14,35470
1055,1999,15,96284
1055,2000,17,95672
1055,2001,10,95178
1055,2003,16,95309
1055,2004,11,95431
1055,2005,18,95517
1055,2006,15,95911
1055,2007,17,96334
1055,2008,25,96679
1069,2000,11,83199
1069,2006,17,90050
1069,2007,17,91765
1069,2008,18,93077
1071,2004,10,50334
1071,2006,10,50187
1071,2008,10,50192
1073,1999,108,619251
1073,2000,99,618474
1073,2001,110,616702
1073,2002,111,614033
1073,2003,108,613921
1073,2004,128,612541
1073,2005,119,611590
1073,2006,135,612746
1073,2007,146,612362
1073,2008,135,613797
1077,1999,11,81605
1077,2000,10,81880
1077,2001,10,81616
1077,2002,12,81420
1077,2007,22,84334
1077,2008,19,85346
1081,2000,12,111076
1081,2001,12,112696
1081,2005,12,121675
1081,2006,12,124607
1081,2007,10,127150
1081,2008,10,129622
1083,2007,13,72329
1083,2008,16,75006
1089,1999,19,262770
1089,2000,14,264490
1089,2001,22,268833
1089,2002,16,273225
1089,2003,18,277724
1089,2004,26,281676
1089,2005,25,286904
1089,2006,21,293751
1089,2007,26,299859
1089,2008,41,306908
1095,2000,12,77131
1095,2004,12,79889
1095,2006,16,82702
1095,2007,13,83951
1095,2008,13,85379
1097,1999,50,377632
1097,2000,52,377959
1097,2001,52,377962
1097,2002,53,376123
1097,2003,62,375584
1097,2004,64,375421
1097,2005,66,376355
1097,2006,76,380121
1097,2007,96,382769
1097,2008,95,386066
1101,1999,23,211284
1101,2000,23,211098
1101,2001,12,210641
1101,2002,19,210801
1101,2003,17,210263
1101,2004,25,210754
1101,2005,24,211306
1101,2006,21,214893
1101,2007,18,215409
1101,2008,17,214881
1103,2003,10,106603
1103,2004,16,106653
1103,2005,15,107454
1103,2006,22,108796
1103,2007,32,109608
1103,2008,26,110732
1113,2007,12,48205
1113,2008,14,48500
1115,2004,12,67020
1115,2006,16,72277
1115,2007,13,75541
1115,2008,15,77272
1117,2001,15,144105
1117,2002,12,148408
1117,2003,19,153628
1117,2004,18,159447
1117,2005,14,165006
1117,2006,27,171751
1117,2007,37,176120
1117,2008,56,180936
1121,2001,12,76154
1121,2006,12,77160
1121,2007,12,77447
1121,2008,12,77942
1125,1999,16,156268
1125,2000,22,156701
1125,2001,11,158599
1125,2002,15,159809
1125,2003,18,161280
1125,2004,19,163439
1125,2005,20,166912
1125,2006,31,172304
1125,2007,39,175216
1125,2008,43,178730
1127,2000,14,66039
1127,2002,10,65061
1127,2004,15,64002
1127,2005,17,63866
1127,2006,19,63614
1127,2007,22,63141
1127,2008,39,63249
2020,1999,57,254290
2020,2000,60,254936
2020,2001,80,258557
2020,2002,89,262233
2020,2003,86,264308
2020,2004,70,267891
2020,2005,77,269448
2020,2006,88,272902
2020,2007,102,271448
2020,2008,127,273922
2050,2004,10,16282
2090,1999,20,81970
2090,2000,18,81394
2090,2001,22,83250
2090,2002,25,84487
2090,2003,23,85184
2090,2004,28,87231
2090,2005,23,88517
2090,2006,27,88596
2090,2007,20,91557
2090,2008,23,92474
2110,2006,10,29907
2110,2007,11,29776
2110,2008,16,30208
2122,2000,19,48403
2122,2001,20,48558
2122,2002,16,49311
2122,2003,16,49432
2122,2004,25,49748
2122,2005,20,49906
2122,2006,20,50487
2122,2007,14,51377
2122,2008,18,51687
2170,2000,10,58173
2170,2001,16,60496
2170,2002,23,62916
2170,2003,17,65575
2170,2004,14,69040
2170,2005,18,72499
2170,2006,23,76600
2170,2007,21,79323
2170,2008,30,81861
4001,1999,20,67631
4001,2000,34,67160
4001,2001,29,65605
4001,2002,23,65018
4001,2003,22,65709
4001,2004,32,65721
4001,2005,29,65918
4001,2006,30,66759
4001,2007,45,66780
4001,2008,40,66994
4003,1999,16,109527
4003,2000,20,110577
4003,2001,23,111350
4003,2002,19,112281
4003,2003,28,112891
4003,2004,21,115282
4003,2005,27,117484
4003,2006,26,118667
4003,2007,29,119410
4003,2008,27,119992
4005,1999,21,112291
4005,2000,23,113192
4005,2001,15,114955
4005,2002,31,117842
4005,2003,38,119316
4005,2004,25,121452
4005,2005,26,123199
4005,2006,27,124743
4005,2007,29,126320
4005,2008,48,127630
4007,1999,17,46695
4007,2000,22,46924
4007,2001,17,46794
4007,2002,22,46888
4007,2003,13,46664
4007,2004,20,46755
4007,2005,16,46980
4007,2006,23,47728
4007,2007,17,48325
4007,2008,24,48460
4009,1999,11,31522
4009,2007,10,33278
4009,2008,12,34788
4012,1999,12,17592
4012,2000,10,17895
4012,2004,10,17816
4012,2006,10,18235
4013,1999,514,2837834
4013,2000,479,2901986
4013,2001,551,3000234
4013,2002,607,3076596
4013,2003,676,3145631
4013,2004,725,3231449
4013,2005,834,3346550
4013,2006,900,3447428
4013,2007,926,3513611
4013,2008,898,3569943
4015,1999,29,138154
4015,2000,41,142371
4015,2001,43,147056
4015,2002,42,152415
4015,2003,40,158264
4015,2004,50,165662
4015,2005,65,173273
4015,2006,45,180064
4015,2007,57,183174
4015,2008,85,183030
4017,1999,31,92563
4017,2000,23,93775
4017,2001,32,93951
4017,2002,36,96054
4017,2003,40,97344
4017,2004,42,98479
4017,2005,36,99665
4017,2006,55,100924
4017,2007,45,102037
4017,2008,40,102625
4019,1999,212,773496
4019,2000,246,787175
4019,2001,211,801022
4019,2002,233,814913
4019,2003,245,825312
4019,2004,250,839607
4019,2005,272,856354
4019,2006,292,875298
4019,2007,279,888968
4019,2008,236,899809
4021,1999,27,162530
4021,2000,36,168546
4021,2001,30,175970
4021,2002,47,184989
4021,2003,50,195415
4021,2004,55,206413
4021,2005,53,221854
4021,2006,44,256186
