County,FIPS,Year,Year Code,HeartDeaths,Population
"Autauga County, AL",1001,1999,1999,40,41208
"Autauga County, AL",1001,2000,2000,58,41901
"Autauga County, AL",1001,2001,2001,45,43063
"Autauga County, AL",1001,2002,2002,45,44030
"Autauga County, AL",1001,2003,2003,47,44859
"Autauga County, AL",1001,2004,2004,47,46304
"Autauga County, AL",1001,2005,2005,67,47548
"Autauga County, AL",1001,2006,2006,54,49092
"Autauga County, AL",1001,2007,2007,41,50125
"Autauga County, AL",1001,2008,2008,59,50937
"Autauga County, AL",1001,2009,2009,60,51675
"Autauga County, AL",1001,2010,2010,65,52038
"Autauga County, AL",1001,2011,2011,69,52633
"Autauga County, AL",1001,2012,2012,44,52674
"Autauga County, AL",1001,2013,2013,62,52275
"Autauga County, AL",1001,2014,2014,58,52298
"Autauga County, AL",1001,2015,2015,51,52124
"Autauga County, AL",1001,2016,2016,46,52049
"Autauga County, AL",1001,2017,2017,58,51959
"Baldwin County, AL",1003,1999,1999,155,128419
"Baldwin County, AL",1003,2000,2000,140,131067
"Baldwin County, AL",1003,2001,2001,168,135052
"Baldwin County, AL",1003,2002,2002,154,137819
"Baldwin County, AL",1003,2003,2003,153,140920
"Baldwin County, AL",1003,2004,2004,164,145414
"Baldwin County, AL",1003,2005,2005,163,151030
"Baldwin County, AL",1003,2006,2006,183,156588
"Baldwin County, AL",1003,2007,2007,152,160489
"Baldwin County, AL",1003,2008,2008,138,163646
"Baldwin County, AL",1003,2009,2009,160,166964
"Baldwin County, AL",1003,2010,2010,176,169500
"Baldwin County, AL",1003,2011,2011,166,173457
"Baldwin County, AL",1003,2012,2012,150,177037
"Baldwin County, AL",1003,2013,2013,201,181200
"Baldwin County, AL",1003,2014,2014,181,185219
"Baldwin County, AL",1003,2015,2015,196,188252
"Baldwin County, AL",1003,2016,2016,214,192342
"Baldwin County, AL",1003,2017,2017,230,195902
"Barbour County, AL",1005,1999,1999,44,27040
"Barbour County, AL",1005,2000,2000,33,27203
"Barbour County, AL",1005,2001,2001,45,27068
"Barbour County, AL",1005,2002,2002,41,26905
"Barbour County, AL",1005,2003,2003,33,26852
"Barbour County, AL",1005,2004,2004,36,26519
"Barbour County, AL",1005,2005,2005,43,26296
"Barbour County, AL",1005,2006,2006,33,26156
"Barbour County, AL",1005,2007,2007,27,26025
"Barbour County, AL",1005,2008,2008,32,26058
"Barbour County, AL",1005,2009,2009,48,25983
"Barbour County, AL",1005,2010,2010,39,25786
"Barbour County, AL",1005,2011,2011,50,25443
"Barbour County, AL",1005,2012,2012,31,25489
"Barbour County, AL",1005,2013,2013,47,25344
"Barbour County, AL",1005,2014,2014,43,25104
"Barbour County, AL",1005,2015,2015,40,24713
"Barbour County, AL",1005,2016,2016,35,24115
"Barbour County, AL",1005,2017,2017,55,23394
"Bibb County, AL",1007,1999,1999,24,19476
"Bibb County, AL",1007,2000,2000,29,19737
"Bibb County, AL",1007,2001,2001,27,19803
"Bibb County, AL",1007,2002,2002,28,20013
"Bibb County, AL",1007,2003,2003,18,20241
"Bibb County, AL",1007,2004,2004,18,20575
"Bibb County, AL",1007,2005,2005,15,20900
"Bibb County, AL",1007,2006,2006,27,20934
"Bibb County, AL",1007,2007,2007,17,21257
"Bibb County, AL",1007,2008,2008,31,21509
"Bibb County, AL",1007,2009,2009,29,21745
"Bibb County, AL",1007,2010,2010,35,21732
"Bibb County, AL",1007,2011,2011,35,21537
"Bibb County, AL",1007,2012,2012,36,21360
"Bibb County, AL",1007,2013,2013,28,21242
"Bibb County, AL",1007,2014,2014,33,21167
"Bibb County, AL",1007,2015,2015,39,21215
"Bibb County, AL",1007,2016,2016,38,21236
"Bibb County, AL",1007,2017,2017,41,21202
"Blount County, AL",1009,1999,1999,55,47495
"Blount County, AL",1009,2000,2000,58,48231
