FIPS,Year,InfectDeaths,Population
1001,2003,10,44859
1001,2004,11,46304
1001,2007,10,50125
1003,1999,12,128419
1003,2000,25,131067
1003,2001,22,135052
1003,2002,23,137819
1003,2003,30,140920
1003,2004,29,145414
1003,2005,17,151030
1003,2006,23,156588
1003,2007,27,160489
1003,2008,33,163646
1005,2004,11,26519
1009,1999,10,47495
1009,2001,14,48994
1009,2002,18,49676
1009,2003,11,50585
1009,2004,13,51156
1009,2005,13,51537
1009,2006,10,52329
1009,2007,11,53058
1009,2008,22,53828
1013,2001,12,19360
1015,1999,18,108096
1015,2000,34,105326
1015,2001,26,104390
1015,2002,29,104773
1015,2003,43,105682
1015,2004,35,106424
1015,2005,43,107285
1015,2006,45,108233
1015,2007,32,108959
1015,2008,42,109911
1017,2001,15,33384
1017,2006,10,32302
1017,2007,14,32258
1017,2008,11,31952
1021,2004,10,39245
1021,2006,12,39987
1021,2007,10,40527
1031,2001,12,40874
1031,2004,10,42176
1033,1999,10,50863
1033,2000,10,51063
1033,2002,10,50520
1033,2005,14,50266
1033,2006,12,50261
1033,2007,14,50265
1039,2002,10,33683
1039,2003,10,33693
1039,2004,12,33652
1039,2005,11,34042
1039,2006,14,34322
1039,2007,10,34512
1043,1999,12,71984
1043,2000,16,72349
1043,2001,19,72245
1043,2002,17,72288
1043,2003,17,72480
1043,2004,11,72914
1043,2005,13,73437
1043,2006,14,73740
1043,2007,17,74279
1043,2008,16,74923
1045,1999,11,46639
1045,2005,12,46302
1045,2006,11,46270
1047,1999,17,43710
1047,2000,11,43359
1047,2001,13,43155
1047,2002,11,42477
1047,2003,18,42348
1047,2004,13,42089
1047,2005,13,41727
1047,2006,17,41647
1047,2007,19,41515
1047,2008,14,41585
1049,1999,17,59563
1049,2000,12,60411
1049,2001,12,61644
1049,2002,12,61830
1049,2003,19,62546
1049,2004,12,63307
1049,2005,15,63802
1049,2006,14,64489
1049,2007,11,65348
1049,2008,18,66139
1051,1999,17,61534
1051,2000,10,62682
1051,2001,10,64222
1051,2002,14,65371
1051,2003,15,66597
1051,2004,16,67725
1051,2005,18,69632
1051,2006,14,71756
1051,2008,18,74071
1053,1999,10,35910
1053,2001,13,35818
1053,2003,13,35413
1053,2004,13,35361
1053,2007,10,35470
1053,2008,10,35515
1055,1999,29,96284
1055,2000,19,95672
1055,2001,27,95178
1055,2002,22,95204
1055,2003,27,95309
1055,2004,32,95431
1055,2005,36,95517
1055,2006,33,95911
1055,2007,36,96334
1055,2008,40,96679
1059,2007,10,28902
1069,1999,11,82818
1069,2000,12,83199
1069,2001,14,83910
1069,2002,14,84389
1069,2003,15,85759
1069,2004,12,87030
1069,2005,20,88261
1069,2006,18,90050
1069,2007,23,91765
1069,2008,21,93077
1071,1999,11,50467
1071,2001,10,50898
1071,2002,15,50597
1071,2003,13,50522
1071,2005,16,50068
1071,2007,12,50021
1071,2008,10,50192
1073,1999,187,619251
1073,2000,199,618474
1073,2001,190,616702
1073,2002,201,614033
1073,2003,196,613921
1073,2004,215,612541
1073,2005,208,611590
1073,2006,202,612746
1073,2007,202,612362
1073,2008,202,613797
1075,2002,11,14286
1077,1999,17,81605
1077,2000,14,81880
1077,2001,13,81616
1077,2002,14,81420
1077,2003,15,81743
1077,2005,15,82729
1077,2006,23,83569
1077,2007,17,84334
1077,2008,13,85346
1081,1999,17,108967
1081,2000,28,111076
1081,2001,13,112696
1081,2002,15,114191
1081,2003,32,115828
1081,2005,25,121675
1081,2006,26,124607
1081,2007,18,127150
1081,2008,21,129622
1083,1999,13,61827
1083,2000,11,62584
1083,2001,13,63736
1083,2002,18,64408
1083,2003,19,65252
1083,2004,10,66229
1083,2005,17,67792
1083,2006,20,70034
1083,2007,18,72329
1083,2008,10,75006
1087,2000,10,22376
1087,2003,10,21550
1089,1999,40,262770
1089,2000,45,264490
1089,2001,54,268833
1089,2002,54,273225
1089,2003,48,277724
1089,2004,49,281676
1089,2005,43,286904
1089,2006,68,293751
1089,2007,48,299859
1089,2008,63,306908
1095,1999,18,76910
1095,2000,15,77131
1095,2001,24,77319
1095,2002,15,78218
1095,2003,16,79070
1095,2004,14,79889
1095,2005,19,81138
1095,2006,17,82702
1095,2007,16,83951
1095,2008,25,85379
1097,1999,115,377632
1097,2000,118,377959
1097,2001,102,377962
1097,2002,107,376123
1097,2003,130,375584
1097,2004,123,375421
1097,2005,112,376355
1097,2006,113,380121
1097,2007,140,382769
1097,2008,129,386066
1101,1999,53,211284
1101,2000,62,211098
1101,2001,59,210641
1101,2002,59,210801
1101,2003,67,210263
1101,2004,63,210754
1101,2005,72,211306
1101,2006,54,214893
1101,2007,55,215409
1101,2008,56,214881
1103,1999,22,104759
1103,2000,20,105095
1103,2001,21,105597
1103,2002,19,105593
1103,2003,25,106603
1103,2004,15,106653
1103,2005,32,107454
1103,2006,21,108796
1103,2007,28,109608
1103,2008,21,110732
1109,2005,10,29047
1109,2006,15,29567
1109,2008,12,30377
1111,2008,10,21281
1113,1999,14,47201
1113,2000,31,46948
1113,2001,16,46816
1113,2002,14,46700
1113,2003,16,46246
1113,2004,13,46714
1113,2005,18,46853
1113,2006,13,47579
1113,2007,25,48205
1113,2008,17,48500
1115,1999,12,60658
1115,2000,13,61680
1115,2001,14,62988
1115,2002,10,64011
1115,2003,16,65281
1115,2004,22,67020
1115,2006,20,72277
1115,2007,14,75541
1115,2008,30,77272
1117,1999,17,135799
1117,2000,11,138456
1117,2001,14,144105
1117,2002,22,148408
1117,2003,16,153628
1117,2004,23,159447
1117,2005,26,165006
1117,2006,20,171751
1117,2007,15,176120
1117,2008,25,180936
1121,1999,21,75346
1121,2000,19,75607
1121,2001,30,76154
1121,2002,13,76407
1121,2003,21,76156
1121,2004,19,76352
1121,2005,10,76801
1121,2006,19,77160
1121,2007,24,77447
1121,2008,29,77942
1123,2003,15,37762
1123,2007,10,38377
1125,1999,31,156268
1125,2000,29,156701
1125,2001,33,158599
1125,2002,36,159809
1125,2003,30,161280
1125,2004,33,163439
1125,2005,38,166912
1125,2006,39,172304
1125,2007,30,175216
1125,2008,36,178730
1127,1999,15,66144
1127,2000,29,66039
1127,2001,18,65732
1127,2002,18,65061
1127,2003,25,64411
1127,2004,29,64002
1127,2005,19,63866
1127,2006,21,63614
1127,2007,13,63141
1127,2008,21,63249
1131,2000,12,12309
2020,1999,22,254290
2020,2000,30,254936
2020,2001,35,258557
2020,2002,29,262233
2020,2003,29,264308
2020,2004,23,267891
2020,2005,40,269448
2020,2006,28,272902
2020,2007,34,271448
2020,2008,31,273922
2090,1999,10,81970
2090,2002,11,84487
2090,2003,16,85184
2090,2007,10,91557
2122,2000,10,48403
2122,2005,10,49906
2170,2006,15,76600
2170,2008,10,81861
4001,1999,12,67631
4001,2000,15,67160
4001,2001,15,65605
4001,2002,15,65018
4001,2003,15,65709
4001,2004,10,65721
4001,2005,25,65918
4001,2006,24,66759
4001,2007,21,66780
4001,2008,17,66994
4003,1999,23,109527
4003,2000,20,110577
4003,2001,19,111350
4003,2002,27,112281
4003,2003,18,112891
4003,2004,20,115282
4003,2005,31,117484
4003,2006,25,118667
4003,2007,26,119410
4003,2008,29,119992
4005,1999,12,112291
4005,2000,15,113192
4005,2001,20,114955
4005,2002,16,117842
4005,2003,20,119316
4005,2004,18,121452
4005,2005,21,123199
4005,2006,21,124743
4005,2007,13,126320
4005,2008,19,127630
4007,1999,15,46695
4007,2000,13,46924
4007,2001,18,46794
4007,2002,19,46888
4007,2003,16,46664
4007,2004,16,46755
4007,2005,21,46980
4007,2006,20,47728
4007,2008,22,48460
4009,2003,12,31154
4013,1999,520,2837834
4013,2000,526,2901986
4013,2001,524,3000234
4013,2002,565,3076596
4013,2003,644,3145631
4013,2004,614,3231449
