County,FIPS,Year,Year Code,LwrRspDeaths,Population
"Autauga County, AL",1001,1999,1999,11,41208
"Autauga County, AL",1001,2002,2002,15,44030
"Autauga County, AL",1001,2003,2003,15,44859
"Autauga County, AL",1001,2004,2004,11,46304
"Autauga County, AL",1001,2006,2006,17,49092
"Autauga County, AL",1001,2008,2008,12,50937
"Autauga County, AL",1001,2009,2009,17,51675
"Autauga County, AL",1001,2010,2010,17,52038
"Autauga County, AL",1001,2011,2011,12,52633
"Autauga County, AL",1001,2012,2012,21,52674
"Autauga County, AL",1001,2013,2013,11,52275
"Autauga County, AL",1001,2014,2014,20,52298
"Autauga County, AL",1001,2015,2015,25,52124
"Autauga County, AL",1001,2016,2016,20,52049
"Autauga County, AL",1001,2017,2017,12,51959
"Baldwin County, AL",1003,1999,1999,39,128419
"Baldwin County, AL",1003,2000,2000,30,131067
"Baldwin County, AL",1003,2001,2001,35,135052
"Baldwin County, AL",1003,2002,2002,18,137819
"Baldwin County, AL",1003,2003,2003,19,140920
"Baldwin County, AL",1003,2004,2004,27,145414
"Baldwin County, AL",1003,2005,2005,22,151030
"Baldwin County, AL",1003,2006,2006,24,156588
"Baldwin County, AL",1003,2007,2007,24,160489
"Baldwin County, AL",1003,2008,2008,38,163646
"Baldwin County, AL",1003,2009,2009,42,166964
"Baldwin County, AL",1003,2010,2010,52,169500
"Baldwin County, AL",1003,2011,2011,57,173457
"Baldwin County, AL",1003,2012,2012,31,177037
"Baldwin County, AL",1003,2013,2013,52,181200
"Baldwin County, AL",1003,2014,2014,43,185219
"Baldwin County, AL",1003,2015,2015,53,188252
"Baldwin County, AL",1003,2016,2016,40,192342
"Baldwin County, AL",1003,2017,2017,39,195902
"Barbour County, AL",1005,2003,2003,15,26852
"Barbour County, AL",1005,2008,2008,10,26058
"Bibb County, AL",1007,2011,2011,13,21537
"Bibb County, AL",1007,2012,2012,11,21360
"Bibb County, AL",1007,2013,2013,10,21242
"Bibb County, AL",1007,2017,2017,14,21202
"Blount County, AL",1009,1999,1999,10,47495
"Blount County, AL",1009,2000,2000,14,48231
"Blount County, AL",1009,2002,2002,10,49676
"Blount County, AL",1009,2003,2003,19,50585
"Blount County, AL",1009,2004,2004,19,51156
"Blount County, AL",1009,2005,2005,17,51537
