County,FIPS,Year,Year Code,SuicDeaths,Population
"Autauga County, AL",1001,2001,2001,10,43063
"Autauga County, AL",1001,2010,2010,11,52038
"Autauga County, AL",1001,2011,2011,12,52633
"Autauga County, AL",1001,2012,2012,12,52674
"Autauga County, AL",1001,2013,2013,10,52275
"Autauga County, AL",1001,2016,2016,13,52049
"Autauga County, AL",1001,2017,2017,11,51959
"Baldwin County, AL",1003,1999,1999,23,128419
"Baldwin County, AL",1003,2000,2000,20,131067
"Baldwin County, AL",1003,2001,2001,19,135052
"Baldwin County, AL",1003,2002,2002,18,137819
"Baldwin County, AL",1003,2003,2003,22,140920
"Baldwin County, AL",1003,2004,2004,15,145414
"Baldwin County, AL",1003,2005,2005,14,151030
"Baldwin County, AL",1003,2006,2006,33,156588
"Baldwin County, AL",1003,2007,2007,26,160489
"Baldwin County, AL",1003,2008,2008,28,163646
"Baldwin County, AL",1003,2009,2009,37,166964
"Baldwin County, AL",1003,2010,2010,30,169500
"Baldwin County, AL",1003,2011,2011,31,173457
"Baldwin County, AL",1003,2012,2012,41,177037
"Baldwin County, AL",1003,2013,2013,30,181200
"Baldwin County, AL",1003,2014,2014,33,185219
"Baldwin County, AL",1003,2015,2015,42,188252
"Baldwin County, AL",1003,2016,2016,35,192342
"Baldwin County, AL",1003,2017,2017,37,195902
"Blount County, AL",1009,2007,2007,12,53058
"Blount County, AL",1009,2009,2009,10,54007
"Blount County, AL",1009,2012,2012,13,54189
"Blount County, AL",1009,2015,2015,10,53666
"Blount County, AL",1009,2016,2016,10,53576
"Blount County, AL",1009,2017,2017,11,53865
"Calhoun County, AL",1015,1999,1999,18,108096
"Calhoun County, AL",1015,2000,2000,12,105326
"Calhoun County, AL",1015,2001,2001,18,104390
"Calhoun County, AL",1015,2002,2002,13,104773
"Calhoun County, AL",1015,2003,2003,15,105682
"Calhoun County, AL",1015,2004,2004,18,106424
"Calhoun County, AL",1015,2005,2005,12,107285
"Calhoun County, AL",1015,2006,2006,19,108233
"Calhoun County, AL",1015,2007,2007,17,108959
"Calhoun County, AL",1015,2008,2008,13,109911
"Calhoun County, AL",1015,2009,2009,21,110894
"Calhoun County, AL",1015,2010,2010,11,111019
"Calhoun County, AL",1015,2011,2011,16,110256
"Calhoun County, AL",1015,2012,2012,21,109667
"Calhoun County, AL",1015,2013,2013,16,109021
"Calhoun County, AL",1015,2014,2014,15,108253
"Calhoun County, AL",1015,2015,2015,24,107882
"Calhoun County, AL",1015,2016,2016,25,106784
"Calhoun County, AL",1015,2017,2017,28,106740
"Chambers County, AL",1017,2016,2016,12,31190
"Cherokee County, AL",1019,2011,2011,10,24244
"Chilton County, AL",1021,2009,2009,11,41051
"Chilton County, AL",1021,2015,2015,11,41216
"Coffee County, AL",1031,2010,2010,12,46763
"Coffee County, AL",1031,2014,2014,12,47492
"Coffee County, AL",1031,2016,2016,10,47770
"Colbert County, AL",1033,1999,1999,11,50863
"Colbert County, AL",1033,2004,2004,10,50290
"Colbert County, AL",1033,2007,2007,11,50265
"Colbert County, AL",1033,2010,2010,10,50219
"Colbert County, AL",1033,2014,2014,10,50191
"Covington County, AL",1039,2017,2017,10,33704
"Cullman County, AL",1043,2000,2000,12,72349
"Cullman County, AL",1043,2005,2005,12,73437
"Cullman County, AL",1043,2006,2006,10,73740
"Cullman County, AL",1043,2007,2007,10,74279
"Cullman County, AL",1043,2008,2008,15,74923
"Cullman County, AL",1043,2009,2009,13,75005
"Cullman County, AL",1043,2011,2011,14,75055
"Cullman County, AL",1043,2013,2013,10,75143
"Cullman County, AL",1043,2014,2014,21,75479
"Cullman County, AL",1043,2015,2015,17,76063
"Cullman County, AL",1043,2016,2016,18,76362
"Cullman County, AL",1043,2017,2017,20,76591
"DeKalb County, AL",1049,2009,2009,10,66768
"DeKalb County, AL",1049,2010,2010,11,66949
"DeKalb County, AL",1049,2011,2011,11,67172
"DeKalb County, AL",1049,2012,2012,14,66716
"DeKalb County, AL",1049,2015,2015,12,66677
"DeKalb County, AL",1049,2017,2017,18,66867
"Elmore County, AL",1051,2006,2006,13,71756
"Elmore County, AL",1051,2010,2010,12,75607
"Elmore County, AL",1051,2013,2013,12,76778
"Elmore County, AL",1051,2014,2014,19,76643
"Elmore County, AL",1051,2015,2015,11,77006
"Elmore County, AL",1051,2016,2016,19,77146
"Elmore County, AL",1051,2017,2017,12,77076
"Etowah County, AL",1055,1999,1999,13,96284
"Etowah County, AL",1055,2000,2000,15,95672
"Etowah County, AL",1055,2001,2001,16,95178
"Etowah County, AL",1055,2002,2002,13,95204
"Etowah County, AL",1055,2003,2003,14,95309
"Etowah County, AL",1055,2004,2004,12,95431
"Etowah County, AL",1055,2005,2005,14,95517
"Etowah County, AL",1055,2008,2008,16,96679
"Etowah County, AL",1055,2009,2009,13,96791
"Etowah County, AL",1055,2010,2010,13,97019
"Etowah County, AL",1055,2011,2011,24,96931
"Etowah County, AL",1055,2013,2013,19,96666
"Etowah County, AL",1055,2014,2014,14,96176
"Etowah County, AL",1055,2015,2015,14,95627
"Etowah County, AL",1055,2016,2016,15,95111
"Etowah County, AL",1055,2017,2017,13,95138
"Houston County, AL",1069,2004,2004,10,87030
"Houston County, AL",1069,2005,2005,14,88261
"Houston County, AL",1069,2008,2008,15,93077
"Houston County, AL",1069,2011,2011,11,95684
"Houston County, AL",1069,2012,2012,10,96622
"Houston County, AL",1069,2013,2013,11,96754
"Houston County, AL",1069,2014,2014,11,97119
"Houston County, AL",1069,2015,2015,21,96987
"Houston County, AL",1069,2017,2017,14,96842
"Jackson County, AL",1071,1999,1999,10,50467
"Jackson County, AL",1071,2004,2004,11,50334
"Jackson County, AL",1071,2007,2007,11,50021
"Jackson County, AL",1071,2013,2013,13,49183
"Jackson County, AL",1071,2014,2014,13,48807
"Jackson County, AL",1071,2016,2016,14,48140
"Jackson County, AL",1071,2017,2017,13,47827
"Jefferson County, AL",1073,1999,1999,78,619251
"Jefferson County, AL",1073,2000,2000,75,618474
"Jefferson County, AL",1073,2001,2001,68,616702
"Jefferson County, AL",1073,2002,2002,70,614033
"Jefferson County, AL",1073,2003,2003,63,613921
"Jefferson County, AL",1073,2004,2004,71,612541
"Jefferson County, AL",1073,2005,2005,72,611590
"Jefferson County, AL",1073,2006,2006,68,612746
"Jefferson County, AL",1073,2007,2007,64,612362
"Jefferson County, AL",1073,2008,2008,99,613797
"Jefferson County, AL",1073,2009,2009,97,616088
"Jefferson County, AL",1073,2010,2010,64,616296
"Jefferson County, AL",1073,2011,2011,79,616847
"Jefferson County, AL",1073,2012,2012,86,618213
"Jefferson County, AL",1073,2013,2013,78,617731
"Jefferson County, AL",1073,2014,2014,68,619000
"Jefferson County, AL",1073,2015,2015,84,618555
"Jefferson County, AL",1073,2016,2016,73,617379
