FIPS,Year,Deaths,Population
1001,1999,177,41208
1001,2000,185,41901
1001,2001,181,43063
1001,2002,213,44030
1001,2003,224,44859
1001,2004,212,46304
1001,2005,216,47548
1001,2006,242,49092
1001,2007,217,50125
1001,2008,262,50937
1001,2009,233,51675
1001,2010,234,52038
1001,2011,260,52633
1001,2012,260,52674
1001,2013,289,52275
1001,2014,281,52298
1001,2015,281,52124
1001,2016,265,52049
1001,2017,269,51959
1003,1999,615,128419
1003,2000,609,131067
1003,2001,671,135052
1003,2002,676,137819
1003,2003,673,140920
1003,2004,686,145414
1003,2005,714,151030
1003,2006,748,156588
1003,2007,757,160489
1003,2008,723,163646
1003,2009,774,166964
1003,2010,828,169500
1003,2011,837,173457
1003,2012,795,177037
1003,2013,874,181200
1003,2014,904,185219
1003,2015,962,188252
1003,2016,887,192342
1003,2017,978,195902
1005,1999,137,27040
1005,2000,140,27203
1005,2001,167,27068
1005,2002,145,26905
1005,2003,133,26852
1005,2004,140,26519
1005,2005,160,26296
1005,2006,124,26156
1005,2007,119,26025
1005,2008,123,26058
1005,2009,159,25983
1005,2010,140,25786
1005,2011,142,25443
1005,2012,132,25489
1005,2013,136,25344
1005,2014,145,25104
1005,2015,144,24713
1005,2016,129,24115
1005,2017,178,23394
1007,1999,122,19476
1007,2000,99,19737
1007,2001,108,19803
1007,2002,114,20013
1007,2003,110,20241
1007,2004,115,20575
1007,2005,126,20900
1007,2006,132,20934
1007,2007,107,21257
1007,2008,139,21509
1007,2009,122,21745
1007,2010,129,21732
1007,2011,139,21537
1007,2012,139,21360
1007,2013,136,21242
1007,2014,132,21167
1007,2015,128,21215
1007,2016,148,21236
1007,2017,169,21202
1009,1999,206,47495
1009,2000,224,48231
1009,2001,228,48994
1009,2002,238,49676
1009,2003,261,50585
1009,2004,283,51156
1009,2005,265,51537
1009,2006,239,52329
1009,2007,252,53058
1009,2008,290,53828
1009,2009,271,54007
1009,2010,265,53962
1009,2011,302,54195
1009,2012,294,54189
1009,2013,280,54122
1009,2014,332,53837
1009,2015,304,53666
1009,2016,360,53576
1009,2017,386,53865
1011,1999,62,10897
1011,2000,62,10861
1011,2001,75,10540
1011,2002,61,10420
1011,2003,55,10515
1011,2004,68,10293
1011,2005,69,10285
1011,2006,76,10090
1011,2007,69,10330
1011,2008,56,10285
1011,2009,62,10336
1011,2010,74,10280
1011,2011,58,9918
1011,2012,48,9803
1011,2013,61,9975
1011,2014,71,10088
1011,2015,65,10002
1011,2016,73,9642
1011,2017,67,9622
1013,1999,129,19856
