County,FIPS,Year,Year Code,UnintInjDeaths,Population
"Autauga County, AL",1001,1999,1999,18,41208
"Autauga County, AL",1001,2000,2000,17,41901
"Autauga County, AL",1001,2001,2001,16,43063
"Autauga County, AL",1001,2002,2002,20,44030
"Autauga County, AL",1001,2003,2003,24,44859
"Autauga County, AL",1001,2004,2004,22,46304
"Autauga County, AL",1001,2005,2005,21,47548
"Autauga County, AL",1001,2006,2006,26,49092
"Autauga County, AL",1001,2007,2007,22,50125
"Autauga County, AL",1001,2008,2008,21,50937
"Autauga County, AL",1001,2009,2009,23,51675
"Autauga County, AL",1001,2010,2010,22,52038
"Autauga County, AL",1001,2011,2011,29,52633
"Autauga County, AL",1001,2012,2012,14,52674
"Autauga County, AL",1001,2013,2013,27,52275
"Autauga County, AL",1001,2014,2014,23,52298
"Autauga County, AL",1001,2015,2015,20,52124
"Autauga County, AL",1001,2016,2016,25,52049
"Autauga County, AL",1001,2017,2017,21,51959
"Baldwin County, AL",1003,1999,1999,47,128419
"Baldwin County, AL",1003,2000,2000,45,131067
"Baldwin County, AL",1003,2001,2001,51,135052
"Baldwin County, AL",1003,2002,2002,77,137819
"Baldwin County, AL",1003,2003,2003,58,140920
"Baldwin County, AL",1003,2004,2004,63,145414
"Baldwin County, AL",1003,2005,2005,77,151030
"Baldwin County, AL",1003,2006,2006,70,156588
"Baldwin County, AL",1003,2007,2007,63,160489
"Baldwin County, AL",1003,2008,2008,78,163646
"Baldwin County, AL",1003,2009,2009,76,166964
"Baldwin County, AL",1003,2010,2010,71,169500
"Baldwin County, AL",1003,2011,2011,70,173457
"Baldwin County, AL",1003,2012,2012,71,177037
"Baldwin County, AL",1003,2013,2013,62,181200
"Baldwin County, AL",1003,2014,2014,78,185219
"Baldwin County, AL",1003,2015,2015,88,188252
"Baldwin County, AL",1003,2016,2016,76,192342
"Baldwin County, AL",1003,2017,2017,72,195902
"Barbour County, AL",1005,1999,1999,15,27040
"Barbour County, AL",1005,2000,2000,11,27203
"Barbour County, AL",1005,2001,2001,17,27068
"Barbour County, AL",1005,2002,2002,14,26905
"Barbour County, AL",1005,2003,2003,10,26852
"Barbour County, AL",1005,2004,2004,16,26519
"Barbour County, AL",1005,2005,2005,14,26296
"Barbour County, AL",1005,2007,2007,10,26025
"Barbour County, AL",1005,2009,2009,12,25983
"Barbour County, AL",1005,2013,2013,11,25344
"Barbour County, AL",1005,2015,2015,15,24713
"Barbour County, AL",1005,2017,2017,13,23394
"Bibb County, AL",1007,1999,1999,14,19476
"Bibb County, AL",1007,2002,2002,14,20013
"Bibb County, AL",1007,2003,2003,16,20241
"Bibb County, AL",1007,2004,2004,21,20575
